Variable,mean
pelvis XPOS,0.042434
pelvis YPOS,-0.062671
pelvis ZPOS,2.585244
pelvis XROT,0.000000
pelvis YROT,0.000000
pelvis ZROT,-3.959918
spine XPOS,0.000000
spine YPOS,0.000000
spine ZPOS,0.000000
spine XROT,-26.337870
spine YROT,2.435157
spine ZROT,0.302547
spine.001 XROT,31.739952
spine.001 YROT,0.797476
spine.001 ZROT,6.514723
neck XPOS,0.000000
neck YPOS,0.105757
neck ZPOS,0.861318
neck XROT,48.461125
neck YROT,0.798387
neck ZROT,5.983336
face XPOS,0.000000
face YPOS,0.011426
face ZPOS,0.654631
face XROT,3.338614
face YROT,-0.000000
face ZROT,-0.000000
shoulder.L XPOS,0.000000
shoulder.L YPOS,0.105756
shoulder.L ZPOS,0.861318
shoulder.L XROT,-1.340980
shoulder.L YROT,0.015383
shoulder.L ZROT,0.164362
upper_arm.L XPOS,0.544905
upper_arm.L YPOS,0.000000
upper_arm.L ZPOS,-0.000000
upper_arm.L XROT,60.675941
upper_arm.L YROT,232.453680
upper_arm.L ZROT,-82.267419
forearm.L XPOS,0.924824
forearm.L YPOS,0.000392
forearm.L ZPOS,0.003251
forearm.L XROT,41.881781
forearm.L YROT,70.771812
forearm.L ZROT,-128.673117
shoulder.R XPOS,0.000000
shoulder.R YPOS,0.105756
shoulder.R ZPOS,0.861318
shoulder.R XROT,-1.171901
shoulder.R YROT,0.015230
shoulder.R ZROT,0.143618
upper_arm.R XPOS,-0.544905
upper_arm.R YPOS,0.000000
upper_arm.R ZPOS,-0.000000
upper_arm.R XROT,63.149801
upper_arm.R YROT,-230.686971
upper_arm.R ZROT,88.047644
forearm.R XPOS,-0.914660
forearm.R YPOS,0.000392
forearm.R ZPOS,0.003251
forearm.R XROT,34.393900
forearm.R YROT,-65.854731
forearm.R ZROT,119.409344
pelvis.L XPOS,0.000000
pelvis.L YPOS,0.000000
pelvis.L ZPOS,0.000000
pelvis.L XROT,1.629176
pelvis.L YROT,0.000000
pelvis.L ZROT,0.000000
pelvis.R XPOS,0.000000
pelvis.R YPOS,0.000000
pelvis.R ZPOS,0.000000
pelvis.R XROT,1.629176
pelvis.R YROT,-0.000000
pelvis.R ZROT,0.000000
thigh.L XPOS,0.339055
thigh.L YPOS,0.000000
thigh.L ZPOS,-0.003283
thigh.L XROT,17.708429
thigh.L YROT,13.254512
thigh.L ZROT,0.189491
shin.L XPOS,0.065618
shin.L YPOS,0.000000
shin.L ZPOS,-1.252059
shin.L XROT,1.401364
shin.L YROT,-8.489215
shin.L ZROT,-0.132025
foot.L XROT,-22.322531
foot.L YROT,-4.891604
foot.L ZROT,4.903217
heel.02.L XROT,-35.447985
heel.02.L YROT,125.124244
heel.02.L ZROT,98.314056
thigh.R XPOS,-0.339055
thigh.R YPOS,0.000000
thigh.R ZPOS,0.003283
thigh.R XROT,16.756097
thigh.R YROT,-7.591986
thigh.R ZROT,-0.439188
shin.R XPOS,-0.065264
shin.R YPOS,0.000000
shin.R ZPOS,-1.245305
shin.R XROT,2.879179
shin.R YROT,5.974009
shin.R ZROT,-0.036663
foot.R XROT,-27.265869
foot.R YROT,6.251552
foot.R ZROT,-6.829868
heel.02.R XROT,-42.831307
heel.02.R YROT,-125.395210
heel.02.R ZROT,-99.873195
