Variable,X,Y,Z
pelvis,0.000000,0.000000,183.053644
spine,9.657494,6.918418,0.075862
spine.001,0.006689,0.587756,39.646160
neck,98.011979,70.807701,993.353168
face,38.970264,0.000000,0.000000
shoulder.L,4.138738,0.000097,0.062276
upper_arm.L,1475.916809,320.567055,3176.796547
forearm.L,1728.653026,515.019619,2304.847083
shoulder.R,4.138741,0.000096,0.062278
upper_arm.R,1449.382634,280.737687,3129.649987
forearm.R,1358.225062,529.847611,2052.417429
pelvis.L,3.935947,0.000000,0.000000
pelvis.R,3.935947,0.000000,0.000000
thigh.L,24.052236,16.423904,0.093230
shin.L,44.245686,6.148537,0.525862
foot.L,26.083970,11.741121,52.405773
heel.02.L,23.527171,12.231191,16.465154
thigh.R,26.141206,22.247286,0.200187
shin.R,64.096497,10.956511,0.535090
foot.R,17.910317,13.573531,52.397942
heel.02.R,27.301571,12.394820,20.732901
