Variable,X,Y,Z
pelvis,0.003539,0.002520,0.000174
spine,0.000000,0.000000,0.000000
spine.001,0.000000,0.000000,0.000000
neck,0.000000,0.000000,0.000000
face,0.000000,0.000000,0.000000
shoulder.L,0.000000,0.000000,0.000000
upper_arm.L,0.000000,0.000000,0.000000
forearm.L,0.000000,0.000000,0.000000
shoulder.R,0.000000,0.000000,0.000000
upper_arm.R,0.000000,0.000000,0.000000
forearm.R,0.000000,0.000000,0.000000
pelvis.L,0.000000,0.000000,0.000000
pelvis.R,0.000000,0.000000,0.000000
thigh.L,0.000000,0.000000,0.000013
shin.L,0.000000,0.000000,0.000000
foot.L,0.000000,0.000000,0.000000
heel.02.L,0.000000,0.000000,0.000000
thigh.R,0.000000,0.000000,0.000013
shin.R,0.000000,0.000000,0.000000
foot.R,0.000000,0.000000,0.000000
heel.02.R,0.000000,0.000000,0.000000
