Variable,variance,mean
pelvis XPOS,0.001082,-0.011716
pelvis YPOS,0.000392,-0.028845
pelvis ZPOS,0.000048,0.665911
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,247.917160,-0.424922
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,21.979582,-1.819970
spine YROT,20.486176,-2.601418
spine ZROT,0.112814,-0.214807
spine.001 XROT,0.005416,9.946338
spine.001 YROT,0.745747,0.025861
spine.001 ZROT,50.221363,0.212733
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.030199
neck ZPOS,0.000000,0.245952
neck XROT,151.174545,7.713871
neck YROT,35.485058,-1.928338
neck ZROT,446.772003,-0.731487
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.003089
face ZPOS,0.000000,0.176980
face XROT,47.418556,1.415822
face YROT,0.000000,0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.030199
shoulder.L ZPOS,0.000000,0.245952
shoulder.L XROT,8.266451,0.760759
shoulder.L YROT,0.000274,0.009469
shoulder.L ZROT,0.124180,-0.093260
upper_arm.L XPOS,0.000000,0.162259
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,479.441681,17.075550
upper_arm.L YROT,137.629913,56.951332
upper_arm.L ZROT,1739.768188,-33.299339
forearm.L XPOS,0.000000,0.240456
forearm.L YPOS,0.000000,0.000106
forearm.L ZPOS,0.000000,0.000877
forearm.L XROT,237.189835,19.705120
forearm.L YROT,188.738800,32.453930
forearm.L ZROT,1091.774414,-58.535252
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.030199
shoulder.R ZPOS,0.000000,0.245952
shoulder.R XROT,8.266459,0.808915
shoulder.R YROT,0.000279,0.009550
shoulder.R ZROT,0.124175,-0.099162
upper_arm.R XPOS,0.000000,-0.162259
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,542.829712,26.954670
upper_arm.R YROT,101.858711,-68.919891
upper_arm.R ZROT,1221.615479,40.481281
forearm.R XPOS,0.000000,-0.229109
forearm.R YPOS,0.000000,0.000106
forearm.R ZPOS,0.000000,0.000877
forearm.R XROT,392.915100,17.352636
forearm.R YROT,174.374756,-25.044662
forearm.R ZROT,1109.009277,50.438385
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,6.096562,-1.682541
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,6.096560,-1.682541
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.101082
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000019,0.002971
thigh.L XROT,9.172654,5.637299
thigh.L YROT,8.316665,3.313165
thigh.L ZROT,0.030891,0.112915
shin.L XPOS,0.000000,0.017770
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.339079
shin.L XROT,12.321923,2.176007
shin.L YROT,3.573433,-0.422968
shin.L ZROT,0.043465,0.117434
foot.L XROT,13.733784,-9.201929
foot.L YROT,31.291595,-4.081881
foot.L ZROT,130.285934,5.770652
heel.02.L XROT,4.233066,-0.291867
heel.02.L YROT,18.159132,-30.999678
heel.02.L ZROT,35.948116,-22.117849
thigh.R XPOS,0.000000,-0.101082
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000019,-0.002971
thigh.R XROT,15.106730,4.382157
thigh.R YROT,15.225382,-5.269728
thigh.R ZROT,0.194461,0.040914
shin.R XPOS,0.000000,-0.017685
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.337456
shin.R XROT,13.641521,4.506141
shin.R YROT,13.983306,-2.227268
shin.R ZROT,0.957732,-0.058992
foot.R XROT,16.684845,-10.767336
foot.R YROT,32.662209,5.409199
foot.R ZROT,127.058334,-7.679605
heel.02.R XROT,8.235338,0.066719
heel.02.R YROT,23.071861,25.680906
heel.02.R ZROT,34.221634,16.375633
