Variable,variance,mean
pelvis XPOS,0.000008,-0.012767
pelvis YPOS,0.000031,0.145095
pelvis ZPOS,0.000004,0.669823
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,1.517355,-1.012161
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,0.384211,-19.109760
spine YROT,0.126475,2.167479
spine ZROT,0.005944,0.482314
spine.001 XROT,0.000077,9.974088
spine.001 YROT,0.015796,0.589656
spine.001 ZROT,1.053272,4.808863
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.024885
neck ZPOS,0.000000,0.202672
neck XROT,0.967390,11.716406
neck YROT,1.066351,-2.988009
neck ZROT,13.252686,-5.988036
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.002574
face ZPOS,0.000000,0.147443
face XROT,1.204613,2.368901
face YROT,0.000000,-0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.024885
shoulder.L ZPOS,0.000000,0.202672
shoulder.L XROT,0.459735,-4.884468
shoulder.L YROT,0.000042,0.026039
shoulder.L ZROT,0.006888,0.598958
upper_arm.L XPOS,0.000000,0.127326
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,96.764984,33.441799
upper_arm.L YROT,11.642171,81.022598
upper_arm.L ZROT,143.932129,-38.274887
forearm.L XPOS,0.000000,0.221793
forearm.L YPOS,0.000000,0.000097
forearm.L ZPOS,0.000000,0.000802
forearm.L XROT,31.069103,1.961726
forearm.L YROT,23.111170,10.580763
forearm.L ZROT,87.880600,-14.308880
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.024885
shoulder.R ZPOS,0.000000,0.202672
shoulder.R XROT,0.459741,-4.828362
shoulder.R YROT,0.000041,0.025456
shoulder.R ZROT,0.006889,0.592093
upper_arm.R XPOS,0.000000,-0.127327
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,24.186428,12.375858
upper_arm.R YROT,5.677833,-73.488617
upper_arm.R ZROT,47.074940,16.323761
forearm.R XPOS,0.000000,-0.220482
forearm.R YPOS,0.000000,0.000097
forearm.R ZPOS,0.000000,0.000802
forearm.R XROT,16.389513,1.900750
forearm.R YROT,15.697578,-11.141007
forearm.R ZROT,61.232079,14.686163
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.051490,-0.269106
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.051490,-0.269106
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.082923
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000000,0.000389
thigh.L XROT,0.333628,-6.667793
thigh.L YROT,0.115051,3.790330
thigh.L ZROT,0.000265,-0.128132
shin.L XPOS,0.000000,0.016954
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.323508
shin.L XROT,0.726369,-1.411339
shin.L YROT,0.303075,-4.955593
shin.L ZROT,0.006632,-0.133085
foot.L XROT,0.753193,7.772278
foot.L YROT,0.078963,1.886775
foot.L ZROT,0.832839,-3.345122
heel.02.L XROT,0.597420,-9.939564
heel.02.L YROT,0.297166,44.821388
heel.02.L ZROT,0.373867,31.288490
thigh.R XPOS,0.000000,-0.082923
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000000,-0.000390
thigh.R XROT,0.590283,-8.598408
thigh.R YROT,0.091572,-5.467952
thigh.R ZROT,0.000531,0.040347
shin.R XPOS,0.000000,-0.016685
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.318367
shin.R XROT,1.345430,1.734094
shin.R YROT,0.296679,3.361583
shin.R ZROT,0.008301,-0.143736
foot.R XROT,1.489288,5.039077
foot.R YROT,0.176221,-1.247001
foot.R ZROT,0.992942,2.086704
heel.02.R XROT,1.563898,-14.836133
heel.02.R YROT,0.327975,-49.734795
heel.02.R ZROT,1.026452,-38.061420
