Variable,variance,mean
pelvis XPOS,0.000914,0.029485
pelvis YPOS,0.000424,-0.019169
pelvis ZPOS,0.000020,0.921922
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,1374.621704,-7.354575
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,2.971597,-7.095826
spine YROT,4.174248,0.121942
spine ZROT,0.050783,0.014945
spine.001 XROT,0.041840,9.811258
spine.001 YROT,2.569068,0.085486
spine.001 ZROT,177.396088,0.761718
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.037498
neck ZPOS,0.000000,0.305395
neck XROT,6.970645,17.506823
neck YROT,105.652740,0.708083
neck ZROT,1698.701172,1.302480
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.004209
face ZPOS,0.000000,0.241147
face XROT,25.254354,-2.427065
face YROT,0.000000,0.000000
face ZROT,0.000000,0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.037498
shoulder.L ZPOS,0.000000,0.305395
shoulder.L XROT,5.537844,1.340314
shoulder.L YROT,0.000059,0.007856
shoulder.L ZROT,0.083369,-0.164476
upper_arm.L XPOS,0.000000,0.188440
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,275.903809,14.229276
upper_arm.L YROT,15.657707,76.755623
upper_arm.L ZROT,415.843658,-17.499630
forearm.L XPOS,0.000000,0.323086
forearm.L YPOS,0.000000,0.000140
forearm.L ZPOS,0.000000,0.001157
forearm.L XROT,11.167838,2.343042
forearm.L YROT,40.529808,11.146356
forearm.L ZROT,65.193901,-18.241402
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.037498
shoulder.R ZPOS,0.000000,0.305395
shoulder.R XROT,5.537834,1.395045
shoulder.R YROT,0.000061,0.008016
shoulder.R ZROT,0.083367,-0.171191
upper_arm.R XPOS,0.000000,-0.188441
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,655.238342,17.654993
upper_arm.R YROT,9.040542,-79.358070
upper_arm.R ZROT,823.893799,20.480921
forearm.R XPOS,0.000000,-0.319789
forearm.R YPOS,0.000000,0.000140
forearm.R ZPOS,0.000000,0.001157
forearm.R XROT,1.697910,1.343537
forearm.R YROT,22.272900,-8.535820
forearm.R ZROT,30.892773,15.892420
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,1.399188,0.392039
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000002
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,1.399188,0.392039
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,0.000000
thigh.L XPOS,0.000000,0.116181
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000006,-0.000795
thigh.L XROT,26.256580,3.762341
thigh.L YROT,3.494697,4.817688
thigh.L ZROT,0.010942,0.049525
shin.L XPOS,0.000000,0.022123
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.422127
shin.L XROT,21.077360,4.193134
shin.L YROT,28.178907,-2.924662
shin.L ZROT,0.111182,0.193700
foot.L XROT,68.993805,-2.137378
foot.L YROT,145.117477,-4.081314
foot.L ZROT,996.120178,6.566271
heel.02.L XROT,346.826111,-24.676388
heel.02.L YROT,123.503937,49.149940
heel.02.L ZROT,98.316277,39.440105
thigh.R XPOS,0.000000,-0.116181
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000006,0.000795
thigh.R XROT,60.521297,1.697152
thigh.R YROT,6.067026,-1.266991
thigh.R ZROT,0.053458,-0.146353
shin.R XPOS,0.000000,-0.022120
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.422081
shin.R XROT,11.118233,4.379177
shin.R YROT,10.860730,2.273458
shin.R ZROT,0.075636,-0.283582
foot.R XROT,89.536949,2.063010
foot.R YROT,107.677376,3.043457
foot.R ZROT,1004.354553,-4.983981
heel.02.R XROT,329.315491,-22.170992
heel.02.R YROT,159.058319,-47.612808
heel.02.R ZROT,110.175018,-39.541134
