Variable,variance,mean
pelvis XPOS,0.001221,-0.012961
pelvis YPOS,0.000060,-0.028725
pelvis ZPOS,0.000008,0.664683
pelvis XROT,0.000000,0.000000
pelvis YROT,0.000000,0.000000
pelvis ZROT,10.113450,-12.877914
spine XPOS,0.000000,0.000000
spine YPOS,0.000000,0.000000
spine ZPOS,0.000000,0.000000
spine XROT,1.455006,-3.827318
spine YROT,2.111606,-2.879560
spine ZROT,0.013973,-0.244186
spine.001 XROT,0.000104,9.996018
spine.001 YROT,0.050222,-0.074105
spine.001 ZROT,3.341551,-0.604070
neck XPOS,0.000000,0.000000
neck YPOS,0.000000,0.030121
neck ZPOS,0.000000,0.245317
neck XROT,7.923036,15.307833
neck YROT,7.213426,-1.109755
neck ZROT,8.841916,4.758851
face XPOS,0.000000,0.000000
face YPOS,0.000000,0.002880
face ZPOS,0.000000,0.164999
face XROT,7.037544,12.028042
face YROT,0.000000,0.000000
face ZROT,0.000000,-0.000000
shoulder.L XPOS,0.000000,0.000000
shoulder.L YPOS,0.000000,0.030121
shoulder.L ZPOS,0.000000,0.245317
shoulder.L XROT,1.130854,2.441182
shoulder.L YROT,0.000041,0.007595
shoulder.L ZROT,0.016998,-0.299625
upper_arm.L XPOS,0.000000,0.160572
upper_arm.L YPOS,0.000000,0.000000
upper_arm.L ZPOS,0.000000,0.000000
upper_arm.L XROT,57.630402,36.087345
upper_arm.L YROT,7.220277,67.836014
upper_arm.L ZROT,120.146263,-51.541187
forearm.L XPOS,0.000000,0.229713
forearm.L YPOS,0.000000,0.000104
forearm.L ZPOS,0.000000,0.000866
forearm.L XROT,14.702990,10.691478
forearm.L YROT,26.105070,12.318798
forearm.L ZROT,127.631752,-84.367249
shoulder.R XPOS,0.000000,0.000000
shoulder.R YPOS,0.000000,0.030121
shoulder.R ZPOS,0.000000,0.245317
shoulder.R XROT,1.130855,2.489248
shoulder.R YROT,0.000042,0.007849
shoulder.R ZROT,0.016997,-0.305518
upper_arm.R XPOS,0.000000,-0.160572
upper_arm.R YPOS,0.000000,0.000000
upper_arm.R ZPOS,0.000000,0.000000
upper_arm.R XROT,83.405724,26.494743
upper_arm.R YROT,5.469056,-77.550850
upper_arm.R ZROT,132.846207,32.721230
forearm.R XPOS,0.000000,-0.216148
forearm.R YPOS,0.000000,0.000104
forearm.R ZPOS,0.000000,0.000866
forearm.R XROT,102.175751,37.825195
forearm.R YROT,127.180695,-39.848354
forearm.R ZROT,136.079636,85.515381
pelvis.L XPOS,0.000000,0.000000
pelvis.L YPOS,0.000000,0.000000
pelvis.L ZPOS,0.000000,0.000000
pelvis.L XROT,0.758942,-2.685833
pelvis.L YROT,0.000000,-0.000000
pelvis.L ZROT,0.000000,-0.000001
pelvis.R XPOS,0.000000,0.000000
pelvis.R YPOS,0.000000,0.000000
pelvis.R ZPOS,0.000000,0.000000
pelvis.R XROT,0.758945,-2.685833
pelvis.R YROT,0.000000,0.000000
pelvis.R ZROT,0.000000,-0.000000
thigh.L XPOS,0.000000,0.104116
thigh.L YPOS,0.000000,0.000000
thigh.L ZPOS,0.000003,0.004884
thigh.L XROT,1.123897,7.631666
thigh.L YROT,6.504284,5.764241
thigh.L ZROT,0.028403,0.007027
shin.L XPOS,0.000000,0.018037
shin.L YPOS,0.000000,0.000000
shin.L ZPOS,0.000000,-0.344175
shin.L XROT,7.742447,1.939229
shin.L YROT,1.536249,-2.461417
shin.L ZROT,0.031719,0.150142
foot.L XROT,1.645921,-11.517306
foot.L YROT,2.436874,-6.707836
foot.L ZROT,6.421200,9.993729
heel.02.L XROT,0.881054,-1.214550
heel.02.L YROT,2.397882,-29.938143
heel.02.L ZROT,3.718100,-20.551077
thigh.R XPOS,0.000000,-0.104116
thigh.R YPOS,0.000000,0.000000
thigh.R ZPOS,0.000003,-0.004884
thigh.R XROT,7.166631,1.873704
thigh.R YROT,9.862451,-4.028882
thigh.R ZROT,0.006120,0.028702
shin.R XPOS,0.000000,-0.017617
shin.R YPOS,0.000000,0.000000
shin.R ZPOS,0.000000,-0.336160
shin.R XROT,13.268608,8.179683
shin.R YROT,0.666168,-2.816017
shin.R ZROT,0.015241,-0.230526
foot.R XROT,3.123302,-13.146226
foot.R YROT,1.583944,3.501769
foot.R ZROT,4.935503,-3.780619
heel.02.R XROT,1.176080,1.909537
heel.02.R YROT,3.562051,25.729633
heel.02.R ZROT,2.083678,16.627550
