Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-6.82793692490532,1.926376630668067e-09,Stationary
pelvis YPOS,-2.6910692759564934,0.0755964651319659,Non-Stationary
pelvis ZPOS,-4.383756571002251,0.0003171090651809832,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-7.492207088279871,4.474747253424445e-11,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-5.069508402400868,1.613925419651926e-05,Stationary
spine YROT,-9.098670891306975,3.6557470509888324e-15,Stationary
spine ZROT,-9.46333171601613,4.29516039066397e-16,Stationary
spine.001 XROT,-9.664762758858068,1.3242780558392605e-16,Stationary
spine.001 YROT,-8.435714019348318,1.819115795718564e-13,Stationary
spine.001 ZROT,-8.535929609199206,1.0080643368112818e-13,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.264471819109753,0.0005115295077854781,Stationary
neck YROT,-5.9523384407186,2.1325683647728216e-07,Stationary
neck ZROT,-7.064437139188127,5.123849730442971e-10,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-5.300687212792533,5.457733884223578e-06,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-6.758361652690707,2.8335374153832095e-09,Stationary
shoulder.L YROT,-7.599396266971524,2.4117602574097494e-11,Stationary
shoulder.L ZROT,-6.651130616215772,5.117645174196137e-09,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-5.340238057769192,4.51699564701429e-06,Stationary
upper_arm.L YROT,-3.9938264460862616,0.0014431850294112996,Stationary
upper_arm.L ZROT,-5.59236462624832,1.3202431891579038e-06,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.400653759252919,3.3765109842614823e-06,Stationary
forearm.L YROT,-5.638298555359085,1.0506548562584203e-06,Stationary
forearm.L ZROT,-5.227107713813522,7.738179115203502e-06,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-6.397446552505548,2.0342504512210832e-08,Stationary
shoulder.R YROT,-7.637235659113393,1.9378410349490547e-11,Stationary
shoulder.R ZROT,-6.667598985514196,4.67483059424144e-09,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.284960457945532,0.000471618490910444,Stationary
upper_arm.R YROT,-5.517640937593762,1.9090242762437196e-06,Stationary
upper_arm.R ZROT,-4.059547860742579,0.0011288723156945694,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-2.721849137346623,0.07033312407865361,Non-Stationary
forearm.R YROT,-2.8842631065388256,0.04720882672989018,Stationary
forearm.R ZROT,-3.3002151630657104,0.014868859436330694,Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-7.96980405616073,2.8010196246612945e-12,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-7.965952862336642,2.8647563964677065e-12,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-8.207210565318226,6.972481330872719e-13,Stationary
thigh.L XROT,-6.592444336616804,7.059154027185514e-09,Stationary
thigh.L YROT,-9.378791294900102,7.048551085953372e-16,Stationary
thigh.L ZROT,-7.090676902973832,4.418703680611374e-10,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-5.3131349714481635,5.142836882695749e-06,Stationary
shin.L YROT,-5.567366966672231,1.494169956166009e-06,Stationary
shin.L ZROT,-7.155003399402761,3.070961885728877e-10,Stationary
foot.L XROT,-6.119405050883152,8.930576998859404e-08,Stationary
foot.L YROT,-6.4759401298435,1.3311552753243287e-08,Stationary
foot.L ZROT,-6.536481480947795,9.580449786428272e-09,Stationary
heel.02.L XROT,-5.539667271709292,1.713006311097261e-06,Stationary
heel.02.L YROT,-6.1506039929155225,7.578710057651062e-08,Stationary
heel.02.L ZROT,-6.172206460408408,6.76260295854125e-08,Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-7.988838132096005,2.5061570164417097e-12,Stationary
thigh.R XROT,-7.339438717621424,1.0748330726921042e-10,Stationary
thigh.R YROT,-10.014317242342218,1.745124577999105e-17,Stationary
thigh.R ZROT,-7.133846456793822,3.4618389833597435e-10,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-8.876946446657655,1.3499425558142351e-14,Stationary
shin.R YROT,-6.791594189880947,2.357095013122646e-09,Stationary
shin.R ZROT,-8.131235023046425,1.0888454317994373e-12,Stationary
foot.R XROT,-8.296463016388099,4.12737021913702e-13,Stationary
foot.R YROT,-7.5151569423139515,3.9209204394450057e-11,Stationary
foot.R ZROT,-7.018352604485743,6.642031029308958e-10,Stationary
heel.02.R XROT,-7.3089996471731915,1.278986049243631e-10,Stationary
heel.02.R YROT,-7.023538646181604,6.451082061525367e-10,Stationary
heel.02.R ZROT,-6.556316039646027,8.598879751338102e-09,Stationary
