Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-3.5015684991518423,0.007946902936054847,Stationary
pelvis YPOS,-5.894379434530988,2.8743663618852795e-07,Stationary
pelvis ZPOS,-5.255845256394988,6.754769354492862e-06,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-5.2847903737073985,5.88717825537818e-06,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-7.115907961890152,3.831585064415779e-10,Stationary
spine YROT,-10.25057731067917,4.496913562847503e-18,Stationary
spine ZROT,-9.983561193801252,2.0838845345089325e-17,Stationary
spine.001 XROT,-8.693740309229797,3.97621942135747e-14,Stationary
spine.001 YROT,-8.667069263587532,4.653374689319535e-14,Stationary
spine.001 ZROT,-8.70969315081635,3.61924181153581e-14,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-7.383662664667758,8.345038763327923e-11,Stationary
neck YROT,-5.949773191692288,2.1610136970420255e-07,Stationary
neck ZROT,-5.237171437824558,7.378966715902451e-06,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-8.036335785574282,1.898315244752804e-12,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.492537880500446,2.1591079833185763e-06,Stationary
shoulder.L YROT,-5.122772144925306,1.26138045897842e-05,Stationary
shoulder.L ZROT,-5.764260025284519,5.579934753287506e-07,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-9.065054815109868,4.4558519469955985e-15,Stationary
upper_arm.L YROT,-7.964247339414799,2.8934420786159484e-12,Stationary
upper_arm.L ZROT,-9.27483447132264,1.2973824286336852e-15,Stationary
forearm.L XPOS,nan,-1,Constant
