Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-4.9272193686700385,3.086041773541911e-05,Stationary
pelvis YPOS,-2.70691822746319,0.07284874552733549,Non-Stationary
pelvis ZPOS,-2.812463240454078,0.05651541865190074,Non-Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-3.4998780958730036,0.007990225369673743,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-3.6991896514400477,0.004124566865292293,Stationary
spine YROT,-3.213364272688624,0.019224018687304195,Stationary
spine ZROT,-3.2283881422518483,0.01839915544469692,Stationary
spine.001 XROT,-2.5623076423805466,0.10104039596090902,Non-Stationary
spine.001 YROT,-2.3332144455357815,0.16147926371703653,Non-Stationary
spine.001 ZROT,-2.382286852208979,0.14679834978011652,Non-Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.819935491803474,0.002709809419169391,Stationary
neck YROT,-2.406526360380643,0.1399028582082109,Non-Stationary
neck ZROT,-2.374077823476246,0.1491867972151475,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-2.7415817848222503,0.06711502817406169,Non-Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-1.6685350596854855,0.4473926924746236,Non-Stationary
shoulder.L YROT,-3.4275224749650812,0.010055658143743833,Stationary
shoulder.L ZROT,-2.2251555049511786,0.19724245495608395,Non-Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-2.7418379897891905,0.06707403218951749,Non-Stationary
upper_arm.L YROT,-3.4664530631971577,0.008891625551044767,Stationary
upper_arm.L ZROT,-2.8456921982491634,0.05203754849286123,Non-Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-5.5902105502048025,1.3344179733946066e-06,Stationary
forearm.L YROT,-4.223904120017209,0.000600127777393974,Stationary
forearm.L ZROT,-5.502079935184568,2.0605004735559157e-06,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-1.685958093243682,0.4383614240995157,Non-Stationary
shoulder.R YROT,-3.3886182008065373,0.011353050095801606,Stationary
shoulder.R ZROT,-2.2051859560249683,0.204368641125318,Non-Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.959700415904257,2.6651023014170484e-05,Stationary
upper_arm.R YROT,-3.0400196866575624,0.0313223416169912,Stationary
upper_arm.R ZROT,-5.238073420159966,7.34757242576199e-06,Stationary
forearm.R XPOS,nan,-1,Constant
forearm.R YPOS,nan,-1,Constant
forearm.R ZPOS,nan,-1,Constant
forearm.R XROT,-3.229551483861732,0.01833659317754665,Stationary
forearm.R YROT,-2.9113652835967123,0.04404224242288308,Stationary
forearm.R ZROT,-2.2340960403903267,0.19410404717483531,Non-Stationary
pelvis.L XPOS,nan,-1,Constant
pelvis.L YPOS,nan,-1,Constant
pelvis.L ZPOS,nan,-1,Constant
pelvis.L XROT,-2.8646301131902105,0.049618344800509154,Stationary
pelvis.L YROT,nan,-1,Constant
pelvis.L ZROT,nan,-1,Constant
pelvis.R XPOS,nan,-1,Constant
pelvis.R YPOS,nan,-1,Constant
pelvis.R ZPOS,nan,-1,Constant
pelvis.R XROT,-2.8643324132818493,0.04965564572078947,Stationary
pelvis.R YROT,nan,-1,Constant
pelvis.R ZROT,nan,-1,Constant
thigh.L XPOS,nan,-1,Constant
thigh.L YPOS,nan,-1,Constant
thigh.L ZPOS,-2.8626635669016056,0.049865174632621634,Stationary
thigh.L XROT,-2.3492448858212245,0.15657678315771506,Non-Stationary
thigh.L YROT,-4.862130707966747,4.130289821845622e-05,Stationary
thigh.L ZROT,-3.049924694454648,0.03048784605546108,Stationary
shin.L XPOS,nan,-1,Constant
shin.L YPOS,nan,-1,Constant
shin.L ZPOS,nan,-1,Constant
shin.L XROT,-3.243968247253448,0.017576579185480886,Stationary
shin.L YROT,-2.4868107764362235,0.11871647419223624,Non-Stationary
shin.L ZROT,-3.24076608872709,0.017742964614605627,Stationary
foot.L XROT,-4.223825940705136,0.0006003116884287529,Stationary
foot.L YROT,-2.726552293336201,0.06955518185998535,Non-Stationary
foot.L ZROT,-3.4671272271311855,0.0088725786193953,Stationary
heel.02.L XROT,-2.284433189265685,0.1770377389507526,Non-Stationary
heel.02.L YROT,-2.990890378058374,0.03575392651537892,Stationary
heel.02.L ZROT,-2.6227816959685044,0.08837957008996516,Non-Stationary
thigh.R XPOS,nan,-1,Constant
thigh.R YPOS,nan,-1,Constant
thigh.R ZPOS,-2.860414932362384,0.05014864721078454,Non-Stationary
thigh.R XROT,-2.699541541167709,0.07411763604481808,Non-Stationary
thigh.R YROT,-4.025409812941994,0.0012831492375026876,Stationary
thigh.R ZROT,-4.23362219023829,0.0005776752777657873,Stationary
shin.R XPOS,nan,-1,Constant
shin.R YPOS,nan,-1,Constant
shin.R ZPOS,nan,-1,Constant
shin.R XROT,-2.6043497877864445,0.09210158326048501,Non-Stationary
shin.R YROT,-4.754447037472173,6.64161523894046e-05,Stationary
shin.R ZROT,-3.144741598985347,0.023414464340258352,Stationary
foot.R XROT,-4.569026471216488,0.00014725756818644812,Stationary
foot.R YROT,-2.3006220371648816,0.17176743063699684,Non-Stationary
foot.R ZROT,-3.275460700100281,0.01601165530692437,Stationary
heel.02.R XROT,-2.774172773444461,0.06205875923687556,Non-Stationary
heel.02.R YROT,-2.8008945215675722,0.05814610559393107,Non-Stationary
heel.02.R ZROT,-2.7227803368781562,0.07017854876636843,Non-Stationary
