Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-8.127799369890074,1.1109990624928012e-12,Stationary
pelvis YPOS,-4.799546948006007,5.449457149282724e-05,Stationary
pelvis ZPOS,-7.360923887794935,9.505381710668834e-11,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.7739724885454717,0.0620888676432387,Non-Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-4.213276820794629,0.0006256200875067489,Stationary
spine YROT,-6.010469627071058,1.5779334521296195e-07,Stationary
spine ZROT,-5.990645430513571,1.7489904405735293e-07,Stationary
spine.001 XROT,-8.450882997405973,1.663675624383598e-13,Stationary
spine.001 YROT,-5.069823886906571,1.6115808229815554e-05,Stationary
spine.001 ZROT,-4.9329884700339965,3.0068731520827648e-05,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-4.600499053616398,0.0001288963339996669,Stationary
neck YROT,-4.001647549691806,0.00140190872785938,Stationary
neck ZROT,-2.426473768839967,0.1344033577265505,Non-Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-2.6739866842999005,0.07864889025883472,Non-Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-5.288974421397787,5.771071930262293e-06,Stationary
shoulder.L YROT,-6.074163025987204,1.1320623007611676e-07,Stationary
shoulder.L ZROT,-5.49764095117309,2.1058149729519544e-06,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-5.898227978335927,2.8181147053452956e-07,Stationary
upper_arm.L YROT,-5.489040822938648,2.19638464897985e-06,Stationary
upper_arm.L ZROT,-4.760254769209689,6.475128580422556e-05,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-2.0178560839890385,0.2787991231878376,Non-Stationary
forearm.L YROT,-2.4210709439964138,0.13587738853327586,Non-Stationary
forearm.L ZROT,-2.5531568271829936,0.10307034472906701,Non-Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-5.202680883302568,8.681955177323125e-06,Stationary
shoulder.R YROT,-6.055193404904676,1.2500234479548504e-07,Stationary
