Variable,ADF Statistic,p-value,ADF Stationarity
pelvis XPOS,-1.8081664968884945,0.3764148584935395,Non-Stationary
pelvis YPOS,-3.5098992824912085,0.007736469529379941,Stationary
pelvis ZPOS,-4.229295214083037,0.0005875727837017454,Stationary
pelvis XROT,nan,-1,Constant
pelvis YROT,nan,-1,Constant
pelvis ZROT,-2.8915409948564728,0.04634054431454907,Stationary
spine XPOS,nan,-1,Constant
spine YPOS,nan,-1,Constant
spine ZPOS,nan,-1,Constant
spine XROT,-5.721105148695173,6.938177103026178e-07,Stationary
spine YROT,-3.2652346467716575,0.016505832826293067,Stationary
spine ZROT,-3.1815880885857264,0.02107547676889078,Stationary
spine.001 XROT,-4.560624308502941,0.00015256605329705617,Stationary
spine.001 YROT,-4.622939349203611,0.00011716161878259129,Stationary
spine.001 ZROT,-4.799184965874232,5.458151958962741e-05,Stationary
neck XPOS,nan,-1,Constant
neck YPOS,nan,-1,Constant
neck ZPOS,nan,-1,Constant
neck XROT,-3.7398408335132225,0.00358640609265338,Stationary
neck YROT,-2.919337533060946,0.043145074427616684,Stationary
neck ZROT,-3.402280371270655,0.010881379116485769,Stationary
face XPOS,nan,-1,Constant
face YPOS,nan,-1,Constant
face ZPOS,nan,-1,Constant
face XROT,-4.594716989692576,0.00013209698972883803,Stationary
face YROT,nan,-1,Constant
face ZROT,nan,-1,Constant
shoulder.L XPOS,nan,-1,Constant
shoulder.L YPOS,nan,-1,Constant
shoulder.L ZPOS,nan,-1,Constant
shoulder.L XROT,-3.3016634549096286,0.014804281555703928,Stationary
shoulder.L YROT,-3.1581837067670304,0.022536390979533704,Stationary
shoulder.L ZROT,-3.3095026733881645,0.014459011570929999,Stationary
upper_arm.L XPOS,nan,-1,Constant
upper_arm.L YPOS,nan,-1,Constant
upper_arm.L ZPOS,nan,-1,Constant
upper_arm.L XROT,-4.317506908604269,0.000414204876305669,Stationary
upper_arm.L YROT,-6.649946293506082,5.151040321114362e-09,Stationary
upper_arm.L ZROT,-4.501849180015627,0.00019513255144801937,Stationary
forearm.L XPOS,nan,-1,Constant
forearm.L YPOS,nan,-1,Constant
forearm.L ZPOS,nan,-1,Constant
forearm.L XROT,-6.6399872554291965,5.440503894164872e-09,Stationary
forearm.L YROT,-6.459297444894611,1.4567215124384546e-08,Stationary
forearm.L ZROT,-6.76529750449063,2.726824327403471e-09,Stationary
shoulder.R XPOS,nan,-1,Constant
shoulder.R YPOS,nan,-1,Constant
shoulder.R ZPOS,nan,-1,Constant
shoulder.R XROT,-3.3025060403347415,0.014766825376849707,Stationary
shoulder.R YROT,-3.105762748370117,0.026129648283170385,Stationary
shoulder.R ZROT,-3.281283844475838,0.015736099004069685,Stationary
upper_arm.R XPOS,nan,-1,Constant
upper_arm.R YPOS,nan,-1,Constant
upper_arm.R ZPOS,nan,-1,Constant
upper_arm.R XROT,-4.266039871767848,0.0005083658548988703,Stationary
upper_arm.R YROT,-5.615391818591422,1.1775973013394237e-06,Stationary
upper_arm.R ZROT,-4.317480138905101,0.0004142492626802124,Stationary
