pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
0.057863,0.008841,0.712805,-0.0,0.0,0.401592,0.0,-0.0,-0.0,-6.206589,3.204854,0.342775,9.971596,-0.631164,-5.147543,-0.0,0.025661,0.208993,16.838914,-5.631804,4.041761,0.0,0.002855,0.163566,-3.30056,-0.0,0.0,-0.0,0.025661,0.208993,-1.102197,0.001301,0.13527,0.140877,0.0,-0.0,7.729498,73.776992,-10.31472,0.236844,0.000101,0.000841,50.68725,35.712344,-110.428238,-0.0,0.025661,0.208993,-1.04901,0.001179,0.128756,-0.140877,0.0,-0.0,-8.722248,-73.140527,-11.664279,-0.234524,0.000101,0.000841,50.84777,-38.718399,105.869872,0.0,-0.0,0.0,0.985491,1e-06,-8.7e-05,0.0,-0.0,0.0,0.98553,-0.0,-0.0,0.08964,-0.0,-0.001542,5.55175,7.483234,-0.072414,0.018614,0.0,-0.355176,-5.402453,-0.711747,-0.316818,-3.803621,1.45465,-3.99866,-5.689349,37.918984,33.175697,-0.08964,-0.0,0.001542,-9.360143,0.303438,0.516403,-0.018637,0.0,-0.355611,22.419276,3.683345,-1.916978,-8.988993,-0.682137,3.09812,-18.872936,-45.775238,-40.44684
0.057823,0.008727,0.712815,-0.0,0.0,0.32172,0.0,-0.0,-0.0,-6.399924,3.232943,0.3513,9.970323,-0.645838,-5.267398,-0.0,0.025661,0.208993,17.53828,-5.575282,3.767646,-0.0,0.002855,0.163565,-3.603415,-0.0,1e-06,0.0,0.025661,0.208993,-1.394095,0.002083,0.171158,0.140877,0.0,0.0,5.949864,73.130077,-8.047535,0.236844,0.000101,0.000841,50.570034,35.730109,-110.259163,0.0,0.025661,0.208993,-1.341004,0.001927,0.164647,-0.140877,0.0,-0.0,-3.289336,-74.770866,-4.246039,-0.234524,0.000101,0.000841,47.829954,-37.415189,104.122067,0.0,-0.0,-0.0,0.926517,1e-06,-9.8e-05,0.0,-0.0,-0.0,0.926555,-0.0,0.0,0.089642,-0.0,-0.00145,5.488851,7.586517,-0.076586,0.018614,0.0,-0.355176,-5.23388,-0.927391,-0.31674,-2.267333,1.079328,-2.945669,-5.767571,38.45374,34.24678,-0.089642,0.0,0.00145,-9.245762,0.332716,0.512425,-0.018637,0.0,-0.355611,22.672772,3.733047,-1.949133,-9.088032,-0.934144,3.60132,-19.477417,-46.156202,-40.65901
0.057812,0.00864,0.712877,-0.0,0.0,0.260239,0.0,0.0,-0.0,-6.558559,3.241363,0.356757,9.969791,-0.651803,-5.31602,-0.0,0.025661,0.208993,18.139319,-5.514926,3.462908,-0.0,0.002855,0.163565,-3.920462,0.0,-1e-06,-0.0,0.025661,0.208993,-1.590594,0.002711,0.19527,0.140877,0.0,-0.0,6.213634,72.401822,-8.512229,0.236844,0.000101,0.000841,50.598485,35.904406,-110.011992,-0.0,0.025661,0.208993,-1.537457,0.002532,0.188747,-0.140877,-0.0,0.0,0.793404,-75.833589,1.065995,-0.234524,0.000101,0.000841,45.797426,-36.529515,102.880756,0.0,-0.0,-0.0,0.876953,0.0,-2.9e-05,0.0,-0.0,-0.0,0.876991,0.0,0.0,0.089643,-0.0,-0.001372,5.44652,7.662198,-0.079625,0.018614,-0.0,-0.355176,-5.122031,-1.094273,-0.3174,-1.233877,0.848267,-2.245212,-6.024764,38.945773,34.944744,-0.089643,-0.0,0.001372,-9.161371,0.354652,0.509481,-0.018637,-0.0,-0.355611,22.863804,3.752137,-1.969834,-9.168145,-1.064433,3.864286,-19.896011,-46.407618,-40.739507
0.057821,0.008589,0.712973,-0.0,0.0,0.235228,0.0,0.0,-0.0,-6.668231,3.227041,0.358307,9.969966,-0.649431,-5.296982,-0.0,0.025661,0.208993,18.594427,-5.454965,3.099267,-0.0,0.002855,0.163566,-4.22307,-0.0,-0.0,-0.0,0.025661,0.208993,-1.682038,0.003032,0.206499,0.140877,0.0,0.0,7.602076,71.775487,-10.517117,0.236844,0.000101,0.000841,50.654862,36.157488,-109.672457,-0.0,0.025661,0.208993,-1.6289,0.002845,0.199985,-0.140877,0.0,-0.0,2.560032,-76.416279,3.295632,-0.234524,0.000101,0.000841,44.715988,-36.113949,102.098467,-0.0,0.0,0.0,0.839771,-1e-06,7.3e-05,-0.0,0.0,0.0,0.839733,-0.0,0.0,0.089644,-0.0,-0.001314,5.425757,7.702572,-0.081251,0.018614,0.0,-0.355176,-5.075961,-1.192797,-0.318892,-0.780096,0.755325,-1.947069,-6.400522,39.347067,35.248561,-0.089644,-0.0,0.001314,-9.110848,0.367013,0.507642,-0.018637,0.0,-0.355611,22.983943,3.732131,-1.97642,-9.218532,-1.055003,3.852134,-20.08378,-46.505846,-40.669395
0.057826,0.008573,0.713052,-0.0,0.0,0.246711,0.0,0.0,-0.0,-6.734313,3.202001,0.357395,9.970134,-0.647161,-5.278459,-0.0,0.025661,0.208993,18.908713,-5.396379,2.692591,0.0,0.002855,0.163565,-4.46508,0.0,-0.0,-0.0,0.025661,0.208993,-1.721591,0.003176,0.211294,0.140877,0.0,-0.0,8.335437,71.436108,-11.594776,0.236844,0.000101,0.000841,50.590774,36.320651,-109.333481,-0.0,0.025661,0.208993,-1.668499,0.002983,0.204824,-0.140877,0.0,-0.0,3.295013,-76.666319,4.208813,-0.234524,0.000101,0.000841,44.111308,-35.929875,101.568963,0.0,0.0,-0.0,0.815542,0.0,-2.7e-05,0.0,0.0,-0.0,0.815542,0.0,0.0,0.089644,-0.0,-0.001276,5.41326,7.719561,-0.081874,0.018614,0.0,-0.355176,-5.06416,-1.239237,-0.320197,-0.590071,0.718482,-1.825288,-6.709622,39.639618,35.419616,-0.089644,-0.0,0.001276,-9.079794,0.373607,0.506426,-0.018637,-0.0,-0.355611,23.062328,3.688951,-1.974581,-9.254074,-0.975851,3.703186,-20.148361,-46.527747,-40.553702
0.057824,0.008594,0.713108,-0.0,0.0,0.268658,-0.0,0.0,-0.0,-6.764938,3.180727,0.355881,9.969844,-0.651824,-5.316164,-0.0,0.025661,0.208993,19.101314,-5.342346,2.319886,0.0,0.002855,0.163565,-4.621482,-1e-06,1e-06,-0.0,0.025661,0.208993,-1.752324,0.003291,0.215168,0.140877,0.0,-0.0,8.085981,71.311908,-11.275613,0.236844,0.000101,0.000841,50.387955,36.347975,-109.044428,-0.0,0.025661,0.208993,-1.69914,0.003094,0.208607,-0.140877,0.0,-0.0,4.013236,-76.695982,5.112415,-0.234524,0.000101,0.000841,43.708136,-35.834021,101.165422,0.0,0.0,-0.0,0.808265,-0.0,6.4e-05,0.0,0.0,-0.0,0.808265,-0.0,0.0,0.089645,-0.0,-0.001265,5.399402,7.730662,-0.082192,0.018614,0.0,-0.355176,-5.059224,-1.266344,-0.321077,-0.438459,0.680851,-1.707897,-6.884724,39.847248,35.624283,-0.089645,0.0,0.001265,-9.059489,0.377237,0.505575,-0.018637,0.0,-0.355611,23.121357,3.648518,-1.971546,-9.305267,-0.896797,3.556671,-20.189312,-46.539949,-40.467034
0.057816,0.008654,0.713179,-0.0,0.0,0.268785,-0.0,0.0,0.0,-6.760192,3.169666,0.35451,9.968503,-0.664773,-5.42257,-0.0,0.025661,0.208993,19.166791,-5.296124,2.081431,0.0,0.002855,0.163565,-4.675712,-0.0,0.0,0.0,0.025661,0.208993,-1.777106,0.003385,0.218164,0.140877,0.0,-0.0,7.636662,71.201573,-10.67483,0.236844,0.000101,0.000841,50.169403,36.32243,-108.819933,0.0,0.025661,0.208993,-1.723969,0.003187,0.211643,-0.140877,0.0,-0.0,4.5584,-76.57487,5.812179,-0.234524,0.000101,0.000841,43.506895,-35.852045,100.850427,-0.0,-0.0,0.0,0.81897,1e-06,-7.6e-05,-0.0,-0.0,0.0,0.81897,0.0,0.0,0.089644,-0.0,-0.001281,5.384806,7.745973,-0.082696,0.018614,-0.0,-0.355176,-5.056346,-1.298592,-0.322312,-0.334072,0.638087,-1.586686,-7.000892,40.012638,35.832183,-0.089644,-0.0,0.001281,-9.053756,0.374571,0.505044,-0.018637,0.0,-0.355611,23.167102,3.631117,-1.972007,-9.378126,-0.842143,3.460477,-20.217275,-46.547053,-40.397868
0.0578,0.00875,0.71327,-0.0,0.0,0.226856,-0.0,0.0,-0.0,-6.720622,3.164566,0.352832,9.966249,-0.687524,-5.608679,-0.0,0.025661,0.208993,19.094038,-5.239881,2.050431,0.0,0.002855,0.163565,-4.614544,-0.0,1e-06,-0.0,0.025661,0.208993,-1.776117,0.003379,0.217957,0.140877,0.0,0.0,7.446852,71.060223,-10.438132,0.236844,0.000101,0.000841,49.99998,36.284885,-108.673767,-0.0,0.025661,0.208993,-1.722929,0.003181,0.211452,-0.140877,0.0,0.0,4.864694,-76.34879,6.223904,-0.234524,0.000101,0.000841,43.491892,-36.021052,100.54268,-0.0,0.0,-0.0,0.835161,0.0,1.8e-05,-0.0,0.0,-0.0,0.835161,0.0,0.0,0.089644,-0.0,-0.001307,5.372906,7.766419,-0.083481,0.018614,0.0,-0.355176,-5.059271,-1.341318,-0.324379,-0.314053,0.597377,-1.486366,-7.137801,40.17172,35.991098,-0.089644,-0.0,0.001307,-9.070652,0.3614,0.504949,-0.018637,-0.0,-0.355611,23.207566,3.643109,-1.977995,-9.445812,-0.81164,3.410467,-20.20505,-46.529287,-40.315069
0.057776,0.008882,0.713335,-0.0,0.0,0.142983,-0.0,0.0,-0.0,-6.660003,3.156168,0.350205,9.962701,-0.724133,-5.908288,0.0,0.025661,0.208993,18.932513,-5.133693,2.232494,-0.0,0.002855,0.163565,-4.475904,-0.0,1e-06,0.0,0.025661,0.208993,-1.731364,0.003214,0.212556,0.140877,0.0,0.0,7.222009,70.952579,-10.145032,0.236844,0.000101,0.000841,49.887032,36.199606,-108.673214,0.0,0.025661,0.208993,-1.678227,0.003018,0.206024,-0.140877,0.0,-0.0,5.481678,-76.092283,7.038175,-0.234524,0.000101,0.000841,43.584363,-36.31616,100.175864,0.0,-0.0,-0.0,0.836799,-0.0,6e-05,0.0,-0.0,-0.0,0.836799,-0.0,0.0,0.089644,0.0,-0.001309,5.363664,7.788414,-0.084378,0.018614,0.0,-0.355176,-5.0675,-1.386618,-0.326905,-0.328616,0.554441,-1.387558,-7.300966,40.337209,36.123108,-0.089644,-0.0,0.001309,-9.111843,0.341191,0.505646,-0.018637,-0.0,-0.355611,23.254895,3.675016,-1.988671,-9.481509,-0.802473,3.397468,-20.15074,-46.485479,-40.218763
0.057751,0.009034,0.713343,-0.0,0.0,0.036197,0.0,-0.0,-0.0,-6.599886,3.139141,0.346647,9.957129,-0.775689,-6.330653,-0.0,0.025661,0.208993,18.786729,-4.948583,2.545531,0.0,0.002855,0.163566,-4.357208,-0.0,-3e-06,-0.0,0.025661,0.208993,-1.641502,0.002887,0.201468,0.140877,0.0,0.0,6.559657,70.901277,-9.229711,0.236844,0.000101,0.000841,49.859404,36.044537,-108.890175,-0.0,0.025661,0.208993,-1.588363,0.002704,0.194984,-0.140877,0.0,-0.0,6.721039,-75.920865,8.642393,-0.234524,0.000101,0.000841,43.826298,-36.674605,99.917635,0.0,-0.0,-0.0,0.818627,-1e-06,7.3e-05,0.0,-0.0,-0.0,0.818589,-0.0,-0.0,0.089644,0.0,-0.001281,5.356372,7.807201,-0.085149,0.018614,0.0,-0.355176,-5.079663,-1.425232,-0.329396,-0.32455,0.506942,-1.274291,-7.455607,40.496994,36.258882,-0.089644,-0.0,0.001281,-9.166972,0.321997,0.507184,-0.018637,-0.0,-0.355611,23.311125,3.710365,-2.000868,-9.487047,-0.808206,3.409235,-20.081272,-46.43251,-40.120821
