pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
0.065907,-0.025015,0.67475,-0.0,0.0,-5.431572,0.0,0.0,0.0,-7.329312,3.565942,0.416805,9.987716,-0.415041,-3.382298,-0.0,0.029301,0.238635,17.453625,0.453805,3.977251,-0.0,0.00311,0.178174,2.04133,0.0,-3e-06,-0.0,0.029301,0.238636,-1.418237,0.002153,0.173997,0.144247,-0.0,0.0,13.855986,80.997711,-16.225956,0.241736,0.000104,0.000864,3.351129,14.003006,-25.927132,-0.0,0.029301,0.238636,-1.36487,0.001996,0.16748,-0.144246,0.0,0.0,7.432795,-80.012367,8.889222,-0.240681,0.000104,0.000864,3.258518,-14.375631,24.488346,0.0,-0.0,0.0,2.013879,1e-06,-5e-05,0.0,-0.0,0.0,2.013917,-0.0,0.0,0.090634,0.0,-0.003187,4.761444,7.391087,-0.058231,0.016922,0.0,-0.322884,-1.701506,3.994388,-0.029896,-6.91456,-5.682477,9.999049,-17.059039,47.447996,37.263589,-0.090634,-0.0,0.003187,-3.337519,1.565449,0.220414,-0.017084,-0.0,-0.325982,15.706365,-6.257626,0.035738,-6.863326,11.165408,-20.702399,-24.396445,-50.560257,-35.982208
0.06519,-0.024066,0.674917,-0.0,0.0,-5.493579,-0.0,0.0,-0.0,-7.199484,3.596046,0.416195,9.988802,-0.396541,-3.23143,0.0,0.029301,0.238635,17.319656,0.472,3.827393,0.0,0.00311,0.178174,2.017088,-1e-06,-2e-06,0.0,0.029301,0.238636,-1.511575,0.002446,0.185541,0.144247,0.0,0.0,17.241834,80.658339,-20.277044,0.241736,0.000104,0.000864,3.164515,13.826214,-24.76894,-0.0,0.029301,0.238636,-1.458116,0.002277,0.178975,-0.144247,0.0,-0.0,5.987766,-79.093106,7.288118,-0.240681,0.000104,0.000864,3.673528,-15.526183,25.500279,-0.0,-0.0,0.0,1.910827,-0.0,-3e-06,-0.0,-0.0,0.0,1.910828,-0.0,0.0,0.09064,0.0,-0.003024,4.590825,7.316602,-0.053131,0.016922,0.0,-0.322884,-1.539793,4.078012,-0.025926,-6.013268,-6.008289,11.043967,-17.474435,47.730557,37.525353,-0.09064,-0.0,0.003024,-3.770477,1.349313,0.241939,-0.017084,0.0,-0.325982,16.475352,-6.051154,0.007446,-7.542346,11.000969,-19.963408,-25.465223,-50.962511,-35.809637
0.064168,-0.023073,0.675029,-0.0,0.0,-5.593759,-0.0,-0.0,0.0,-7.069181,3.653171,0.4186,9.989902,-0.376176,-3.065403,-0.0,0.029301,0.238635,17.288636,0.533492,3.794089,-0.0,0.00311,0.178174,1.919573,-1e-06,-3e-06,-0.0,0.029301,0.238636,-1.583446,0.002687,0.194439,0.144247,-0.0,0.0,19.964546,80.37311,-23.562898,0.241736,0.000104,0.000864,2.894053,13.349024,-23.446988,-0.0,0.029301,0.238636,-1.529988,0.002507,0.187851,-0.144246,0.0,-0.0,4.799203,-78.317387,5.932045,-0.240681,0.000104,0.000864,4.082409,-16.586879,26.471213,-0.0,-0.0,0.0,1.861696,-1e-06,3.2e-05,-0.0,-0.0,0.0,1.861697,-0.0,0.0,0.090642,0.0,-0.002946,4.521077,7.268765,-0.05042,0.016922,0.0,-0.322884,-1.604655,4.035675,-0.027614,-5.482206,-6.203206,11.682534,-17.825407,48.078443,38.181751,-0.090642,-0.0,0.002946,-4.268838,1.206947,0.26866,-0.017084,0.0,-0.325982,17.389197,-6.069267,0.010652,-7.80329,10.790405,-19.406827,-26.067344,-51.151925,-35.551152
0.062746,-0.021976,0.675167,-0.0,0.0,-5.709381,-0.0,0.0,0.0,-6.937334,3.750342,0.42537,9.990541,-0.365214,-2.975586,0.0,0.029301,0.238635,17.371504,0.653722,3.977554,0.0,0.00311,0.178174,1.756824,-0.0,1e-06,0.0,0.029301,0.238635,-1.614165,0.002789,0.198107,0.144247,0.0,0.0,21.878626,80.192158,-25.876189,0.241736,0.000104,0.000864,2.529169,12.478481,-21.921755,0.0,0.029301,0.238635,-1.560798,0.002608,0.191599,-0.144247,0.0,0.0,3.693623,-77.672522,4.629378,-0.240681,0.000104,0.000864,4.516076,-17.663846,27.439669,-0.0,0.0,0.0,1.864182,-1e-06,7.6e-05,-0.0,0.0,0.0,1.864183,0.0,-0.0,0.090642,-0.0,-0.00295,4.507708,7.20943,-0.047918,0.016922,-0.0,-0.322884,-1.800053,3.938653,-0.032505,-5.322004,-6.265087,11.884004,-18.086643,48.431802,39.068156,-0.090642,0.0,0.00295,-4.873792,1.139657,0.303921,-0.017084,-0.0,-0.325982,18.572097,-6.288655,0.047469,-7.739464,10.513948,-18.924262,-26.282848,-51.170729,-35.235221
0.060753,-0.020582,0.675408,-0.0,0.0,-5.824148,0.0,0.0,-0.0,-6.786279,3.895064,0.436595,9.990379,-0.367954,-2.998063,-0.0,0.029301,0.238635,17.464676,0.823966,4.432394,0.0,0.00311,0.178174,1.598545,-0.0,-0.0,-0.0,0.029301,0.238636,-1.62646,0.002833,0.199622,0.144247,0.0,-0.0,23.081263,80.073033,-27.336027,0.241736,0.000104,0.000864,2.12335,11.334723,-20.272329,-0.0,0.029301,0.238636,-1.573047,0.00265,0.193114,-0.144247,0.0,-0.0,2.617588,-77.027588,3.33281,-0.240681,0.000104,0.000864,5.031049,-18.856933,28.568248,0.0,-0.0,0.0,1.885621,-1e-06,3.5e-05,0.0,-0.0,0.0,1.885622,0.0,-0.0,0.090641,0.0,-0.002984,4.431863,7.056937,-0.041165,0.016922,0.0,-0.322884,-1.873825,3.959306,-0.033498,-5.197076,-6.261978,11.93689,-18.300705,48.708388,39.770825,-0.090641,-0.0,0.002984,-5.591241,1.032343,0.343506,-0.017084,-0.0,-0.325982,20.065994,-6.430732,0.076653,-7.758747,10.18111,-18.283983,-26.650534,-51.257158,-34.937046
0.05782,-0.01876,0.67563,-0.0,0.0,-5.967517,0.0,0.0,-0.0,-6.597295,4.093048,0.451969,9.990499,-0.365617,-2.979165,0.0,0.029301,0.238635,17.445519,0.997628,5.078255,0.0,0.00311,0.178174,1.510816,-0.0,2e-06,0.0,0.029301,0.238635,-1.691431,0.003066,0.207633,0.144247,0.0,0.0,23.861725,79.913664,-28.32418,0.241736,0.000104,0.000864,1.730308,10.091388,-18.565766,0.0,0.029301,0.238635,-1.63797,0.002875,0.201079,-0.144246,0.0,0.0,1.558251,-76.27734,2.030396,-0.240681,0.000104,0.000864,5.657453,-20.117721,30.039937,0.0,0.0,0.0,1.921866,-0.0,-9e-06,0.0,0.0,0.0,1.921867,-0.0,0.0,0.090639,0.0,-0.003041,4.292398,6.771108,-0.029079,0.016922,0.0,-0.322884,-1.825983,4.117831,-0.030109,-4.783445,-6.213011,12.033773,-18.516773,48.933524,40.280385,-0.090639,-0.0,0.003041,-6.341523,0.75906,0.374604,-0.017084,-0.0,-0.325982,21.723775,-6.232379,0.044843,-8.030795,9.79277,-17.393971,-27.249965,-51.424614,-34.564176
0.053906,-0.016796,0.675626,-0.0,0.0,-6.110089,0.0,-0.0,0.0,-6.387178,4.32106,0.469149,9.991736,-0.340655,-2.775571,-0.0,0.029301,0.238635,17.305913,1.091664,5.661375,0.0,0.00311,0.178174,1.526998,-1e-06,-2e-06,-0.0,0.029301,0.238636,-1.844123,0.003643,0.226396,0.144247,0.0,-0.0,24.358748,79.648612,-29.035336,0.241736,0.000104,0.000864,1.385138,8.908173,-16.833216,-0.0,0.029301,0.238636,-1.790666,0.003436,0.219828,-0.144247,0.0,0.0,0.346707,-75.429939,0.496917,-0.240681,0.000104,0.000864,6.381413,-21.351306,31.84645,0.0,0.0,0.0,1.994286,1e-06,-3.4e-05,0.0,-0.0,0.0,1.994324,-0.0,0.0,0.090635,0.0,-0.003156,4.226198,6.390544,-0.014495,0.016922,-0.0,-0.322884,-1.928402,4.260885,-0.029387,-3.972639,-6.065828,12.119368,-18.716101,49.187478,40.961478,-0.090635,0.0,0.003156,-6.935898,0.383061,0.387086,-0.017084,-0.0,-0.325982,23.226029,-5.680776,-0.065946,-8.457221,9.237757,-16.114088,-27.468458,-51.365499,-33.859372
0.04967,-0.015168,0.67536,-0.0,0.0,-6.092887,0.0,0.0,-0.0,-6.201169,4.502942,0.481515,9.99338,-0.306231,-2.494738,-0.0,0.029301,0.238635,17.178061,1.083622,5.968785,0.0,0.00311,0.178174,1.62738,-0.0,-2e-06,-0.0,0.029301,0.238636,-1.998872,0.004281,0.245359,0.144247,-0.0,-0.0,24.251567,79.297574,-29.080903,0.241736,0.000104,0.000864,1.120827,7.955424,-15.224901,-0.0,0.029301,0.238636,-1.945459,0.004053,0.238822,-0.144246,0.0,-0.0,-1.100275,-74.658694,-1.390533,-0.240681,0.000104,0.000864,7.107953,-22.420318,33.695133,0.0,-0.0,0.0,2.10028,-1e-06,3e-05,0.0,-0.0,0.0,2.100282,-0.0,0.0,0.090629,0.0,-0.003324,4.309298,5.984437,0.000588,0.016922,0.0,-0.322884,-2.320987,4.285516,-0.03487,-2.961956,-5.806835,12.064399,-18.865341,49.491083,41.978056,-0.090629,0.0,0.003324,-7.190808,0.14928,0.386702,-0.017084,-0.0,-0.325982,24.296443,-4.891142,-0.239773,-9.18767,8.295564,-13.97631,-26.934933,-50.926874,-32.888966
0.045928,-0.013978,0.674978,-0.0,0.0,-5.763144,-0.0,-0.0,0.0,-6.07092,4.540084,0.480271,9.994069,-0.289064,-2.354379,-0.0,0.029301,0.238635,17.226562,1.092643,6.117422,-0.0,0.00311,0.178174,1.696469,-1e-06,-0.0,-0.0,0.029301,0.238636,-1.994048,0.00426,0.24478,0.144247,0.0,0.0,23.058391,78.881868,-27.865389,0.241736,0.000104,0.000864,0.961234,7.380181,-14.027556,-0.0,0.029301,0.238635,-1.94059,0.004034,0.238194,-0.144247,0.0,0.0,-2.591135,-74.257598,-3.365792,-0.240681,0.000104,0.000864,7.672731,-23.105584,35.22404,0.0,-0.0,0.0,2.207979,1e-06,-2.9e-05,0.0,-0.0,0.0,2.208019,-0.0,0.0,0.090623,0.0,-0.003494,4.445086,5.598663,0.015656,0.016922,0.0,-0.322884,-2.798352,4.256364,-0.042758,-2.203044,-5.542111,11.864725,-18.995579,49.792694,43.055644,-0.090623,0.0,0.003494,-7.061488,0.213864,0.383703,-0.017084,-0.0,-0.325982,24.845045,-3.861071,-0.472875,-10.681023,6.837179,-10.611702,-26.15385,-50.428827,-32.210253
0.042803,-0.01288,0.674606,-0.0,0.0,-5.186921,-0.0,0.0,-0.0,-5.998552,4.385925,0.461147,9.994305,-0.283694,-2.310965,-0.0,0.029301,0.238635,17.511702,1.263943,6.460827,-0.0,0.00311,0.178173,1.551527,-0.0,1e-06,-0.0,0.029301,0.238636,-1.750774,0.003284,0.214943,0.144247,0.0,0.0,20.903581,78.318016,-25.538473,0.241736,0.000104,0.000864,0.896259,7.199959,-13.352578,-0.0,0.029301,0.238635,-1.697363,0.003085,0.208381,-0.144246,0.0,-0.0,-3.918952,-74.387112,-5.103068,-0.240681,0.000104,0.000864,7.987975,-23.303263,36.326102,-0.0,-0.0,0.0,2.298462,0.0,2e-06,0.0,-0.0,0.0,2.298427,0.0,-0.0,0.090617,-0.0,-0.003637,4.518726,5.26374,0.029189,0.016922,0.0,-0.322884,-3.109963,4.242442,-0.047901,-2.047026,-5.410906,11.653409,-19.172665,50.051777,43.883207,-0.090617,0.0,0.003637,-6.624052,0.487036,0.375641,-0.017084,-0.0,-0.325982,24.853868,-2.58103,-0.755389,-13.001356,5.016634,-6.494842,-25.538608,-50.114105,-32.048651
