pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.035329,0.139339,0.675985,0.0,0.0,-2.859428,0.0,0.0,0.0,-23.901472,1.610352,0.430035,9.986005,0.443854,3.617557,-0.0,0.024512,0.199632,13.237636,-3.643266,-4.719363,0.0,0.002592,0.148471,3.602589,0.0,-1e-06,0.0,0.024512,0.199632,-3.712827,0.014761,0.455516,0.121886,-0.0,0.0,72.88152,77.28749,-85.399235,0.213508,9.7e-05,0.000802,5.456344,21.651298,-26.795619,-0.0,0.024512,0.199632,-3.654279,0.014305,0.44836,-0.121886,-0.0,-0.0,37.239417,-72.485383,49.319488,-0.218408,9.7e-05,0.000802,7.153062,-24.541529,30.860246,0.0,-0.0,0.0,-2.136842,0.0,2.2e-05,0.0,-0.0,0.0,-2.136842,0.0,-0.0,0.078293,0.0,0.002921,-5.731965,2.582065,-0.171566,0.016833,-0.0,-0.321198,-3.04757,-5.393915,-0.302597,6.639798,1.82704,-3.383996,-12.686297,44.715626,33.522176,-0.078293,-0.0,-0.002921,-6.106701,-5.230994,0.041217,-0.016801,-0.0,-0.320574,-1.809352,1.166137,0.113188,4.151823,-0.27684,-0.32946,-9.15098,-47.120529,-29.400184
-0.034937,0.139516,0.675444,-0.0,0.0,-2.875247,0.0,0.0,0.0,-23.679069,1.498023,0.396922,9.98861,0.400694,3.265355,0.0,0.024512,0.199632,12.529052,-3.303953,-4.18019,-0.0,0.002592,0.148471,4.161754,0.0,2e-06,0.0,0.024512,0.199632,-3.545967,0.01347,0.435128,0.121886,-0.0,0.0,71.041146,78.360616,-82.391855,0.213508,9.7e-05,0.000802,5.757008,21.976557,-27.861863,0.0,0.024512,0.199632,-3.487408,0.013026,0.42793,-0.121886,0.0,-0.0,38.191057,-73.071987,50.040503,-0.218408,9.7e-05,0.000802,6.997751,-23.663713,31.378244,0.0,0.0,0.0,-1.952779,-0.0,1.1e-05,0.0,0.0,0.0,-1.952822,0.0,-0.0,0.078302,-0.0,0.00267,-5.720208,2.360804,-0.182267,0.016833,0.0,-0.321198,-3.074298,-4.763006,-0.288415,6.686588,1.672155,-2.934217,-13.136212,45.586059,35.156083,-0.078302,0.0,-0.00267,-6.254547,-5.198128,0.04402,-0.016801,0.0,-0.320574,-1.643062,1.157891,0.102665,3.538667,0.052759,-1.02964,-8.89165,-46.976026,-29.354705
-0.034659,0.13966,0.675104,-0.0,0.0,-2.863826,-0.0,0.0,0.0,-23.525904,1.439502,0.379356,9.990251,0.370434,3.01837,-0.0,0.024512,0.199632,12.132065,-3.167051,-4.00565,0.0,0.002592,0.148471,4.428789,-0.0,-1e-06,0.0,0.024512,0.199632,-3.418274,0.012519,0.419527,0.121886,-0.0,0.0,69.558565,79.100223,-80.096413,0.213508,9.7e-05,0.000802,5.973257,22.174925,-28.654624,-0.0,0.024512,0.199632,-3.359708,0.012093,0.412301,-0.121886,0.0,0.0,38.82188,-73.516181,50.465249,-0.218408,9.7e-05,0.000802,6.878385,-23.00468,31.778104,-0.0,0.0,0.0,-1.826694,-0.0,2.1e-05,-0.0,0.0,0.0,-1.826737,-0.0,0.0,0.078308,0.0,0.002497,-5.720121,2.202834,-0.190154,0.016833,-0.0,-0.321198,-3.083372,-4.296687,-0.276782,6.756583,1.568893,-2.626331,-13.449243,46.085318,36.069611,-0.078308,-0.0,-0.002497,-6.371066,-5.172259,0.046288,-0.016801,0.0,-0.320574,-1.492682,1.153193,0.093207,3.052551,0.3152,-1.57072,-8.632917,-46.882104,-29.385677
-0.034507,0.139742,0.674975,-0.0,0.0,-2.823858,0.0,0.0,0.0,-23.44314,1.444002,0.379427,9.990973,0.356003,2.900813,-0.0,0.024512,0.199632,12.046254,-3.255094,-4.262048,-0.0,0.002592,0.148471,4.435589,0.0,1e-06,-0.0,0.024512,0.199632,-3.326642,0.011859,0.408223,0.121886,-0.0,-0.0,68.762533,79.441008,-78.92052,0.213508,9.7e-05,0.000802,6.075502,22.219312,-29.092538,-0.0,0.024512,0.199632,-3.268017,0.011443,0.400996,-0.121886,0.0,-0.0,39.042997,-73.7957,50.51374,-0.218408,9.7e-05,0.000802,6.805399,-22.604549,32.029028,0.0,0.0,0.0,-1.76058,-1e-06,-8.7e-05,0.0,0.0,0.0,-1.760493,-0.0,-0.0,0.07831,-0.0,0.002407,-5.727015,2.115034,-0.194774,0.016833,-0.0,-0.321198,-3.081237,-4.025066,-0.269324,6.84661,1.524752,-2.482515,-13.580213,46.21209,36.234249,-0.07831,-0.0,-0.002407,-6.446136,-5.154792,0.047822,-0.016801,-0.0,-0.320574,-1.367104,1.155728,0.085395,2.736875,0.483889,-1.909859,-8.415453,-46.848879,-29.479691
-0.034413,0.139747,0.674915,-0.0,0.0,-2.769415,0.0,0.0,0.0,-23.377545,1.482944,0.388753,9.991281,0.350765,2.857993,0.0,0.024512,0.199632,12.023949,-3.446991,-4.751513,0.0,0.002592,0.148471,4.433856,-0.0,1e-06,0.0,0.024512,0.199632,-3.241233,0.01125,0.397761,0.121886,0.0,-0.0,68.206228,79.566014,-78.210987,0.213508,9.7e-05,0.000802,6.118246,22.211958,-29.311535,0.0,0.024512,0.199632,-3.18262,0.010848,0.390575,-0.121886,-0.0,-0.0,39.027609,-73.984978,50.344279,-0.218408,9.7e-05,0.000802,6.773075,-22.387007,32.203959,0.0,-0.0,0.0,-1.710473,0.0,3.3e-05,0.0,-0.0,0.0,-1.710473,0.0,0.0,0.078312,-0.0,0.002339,-5.725881,2.066414,-0.197165,0.016833,0.0,-0.321198,-3.094546,-3.870647,-0.266337,6.93484,1.514085,-2.434391,-13.603707,46.181358,36.114434,-0.078312,-0.0,-0.002339,-6.497859,-5.146221,0.048694,-0.016801,0.0,-0.320574,-1.248042,1.175135,0.078169,2.562782,0.58275,-2.109104,-8.296236,-46.851942,-29.562599
-0.034318,0.139701,0.674818,-0.0,0.0,-2.709024,0.0,0.0,-0.0,-23.287791,1.529477,0.399672,9.991407,0.346335,2.821689,-0.0,0.024512,0.199632,11.875417,-3.627252,-5.301308,0.0,0.002592,0.148471,4.577054,-0.0,-2e-06,-0.0,0.024512,0.199632,-3.144578,0.010588,0.385793,0.121886,0.0,-0.0,67.567858,79.655141,-77.449653,0.213508,9.7e-05,0.000802,6.146495,22.211893,-29.449344,-0.0,0.024512,0.199632,-3.086032,0.010196,0.378648,-0.121886,0.0,-0.0,38.957446,-74.143459,50.132967,-0.218408,9.7e-05,0.000802,6.770553,-22.279469,32.356051,0.0,-0.0,0.0,-1.639785,1e-06,4.3e-05,0.0,-0.0,0.0,-1.639741,0.0,-0.0,0.078315,-0.0,0.002242,-5.712678,2.034474,-0.198303,0.016833,0.0,-0.321198,-3.132252,-3.772178,-0.266904,7.002834,1.517795,-2.431457,-13.578532,46.13899,36.032557,-0.078315,-0.0,-0.002242,-6.559458,-5.148088,0.049049,-0.016801,-0.0,-0.320574,-1.091642,1.218984,0.068788,2.487201,0.645996,-2.246336,-8.297167,-46.87203,-29.591648
-0.034212,0.13965,0.674692,0.0,-0.0,-2.642534,-0.0,0.0,-0.0,-23.177047,1.580149,0.411284,9.991806,0.338746,2.75999,0.0,0.024512,0.199632,11.61968,-3.782444,-5.892956,0.0,0.002592,0.14847,4.812597,0.0,1e-06,0.0,0.024512,0.199632,-3.05063,0.009969,0.374354,0.121886,-0.0,0.0,67.02828,79.769691,-76.766839,0.213508,9.7e-05,0.000802,6.168407,22.207361,-29.562558,0.0,0.024512,0.199632,-2.992015,0.009591,0.367166,-0.121886,0.0,-0.0,38.869374,-74.269872,49.925872,-0.218408,9.7e-05,0.000802,6.785203,-22.254223,32.465084,-0.0,0.0,-0.0,-1.54298,0.0,-0.0,-0.0,0.0,-0.0,-1.54298,0.0,-0.0,0.078319,-0.0,0.00211,-5.699836,2.017553,-0.198698,0.016833,0.0,-0.321198,-3.169858,-3.718518,-0.268634,7.038232,1.532534,-2.466793,-13.512465,46.086046,35.980566,-0.078319,-0.0,-0.00211,-6.650501,-5.156531,0.04924,-0.016801,0.0,-0.320574,-0.873172,1.276152,0.055455,2.473912,0.694816,-2.365541,-8.376949,-46.89712,-29.576369
-0.034103,0.139612,0.674588,-0.0,0.0,-2.561794,0.0,0.0,0.0,-23.071614,1.645762,0.426748,9.992439,0.327539,2.668731,-0.0,0.024512,0.199632,11.383237,-3.958254,-6.543212,-0.0,0.002592,0.148471,5.021371,-0.0,0.0,-0.0,0.024512,0.199632,-2.986605,0.009556,0.366655,0.121886,-0.0,-0.0,66.847731,79.908043,-76.440376,0.213508,9.7e-05,0.000802,6.188765,22.19826,-29.674775,-0.0,0.024512,0.199632,-2.927976,0.009182,0.359398,-0.121886,-0.0,-0.0,38.729652,-74.34945,49.693021,-0.218408,9.7e-05,0.000802,6.801362,-22.289819,32.487696,0.0,0.0,0.0,-1.430918,1e-06,4.3e-05,0.0,0.0,0.0,-1.430918,-0.0,0.0,0.078323,0.0,0.001956,-5.698028,2.017033,-0.198661,0.016833,0.0,-0.321198,-3.184396,-3.700815,-0.269376,7.037153,1.556777,-2.536768,-13.41378,45.99641,35.874626,-0.078323,0.0,-0.001956,-6.757555,-5.159986,0.049828,-0.016801,-0.0,-0.320574,-0.624194,1.321839,0.03989,2.484037,0.741673,-2.486886,-8.460563,-46.909954,-29.540442
-0.033998,0.139565,0.674503,0.0,-0.0,-2.456362,-0.0,-0.0,-0.0,-22.988658,1.730721,0.447444,9.993053,0.312065,2.542419,-0.0,0.024512,0.199632,11.245796,-4.163311,-7.167189,-0.0,0.002592,0.148471,5.15196,-0.0,-1e-06,-0.0,0.024512,0.199632,-2.963368,0.009407,0.363698,0.121886,-0.0,0.0,66.998657,80.059174,-76.451885,0.213508,9.7e-05,0.000802,6.218493,22.20625,-29.8081,-0.0,0.024512,0.199632,-2.9048,0.009038,0.356456,-0.121886,-0.0,0.0,38.563228,-74.390876,49.457782,-0.218408,9.7e-05,0.000802,6.806682,-22.350276,32.420316,-0.0,-0.0,0.0,-1.316333,1e-06,5.4e-05,-0.0,-0.0,0.0,-1.316377,-0.0,0.0,0.078327,-0.0,0.0018,-5.700201,2.026739,-0.198255,0.016833,0.0,-0.321198,-3.190727,-3.6928,-0.269691,7.012546,1.584666,-2.621827,-13.307106,45.888732,35.731988,-0.078327,-0.0,-0.0018,-6.847336,-5.15031,0.051073,-0.016801,-0.0,-0.320574,-0.409193,1.344537,0.026229,2.484386,0.793646,-2.618117,-8.492969,-46.899221,-29.503245
-0.033899,0.139484,0.674392,-0.0,0.0,-2.331442,0.0,0.0,0.0,-22.923841,1.824724,0.470649,9.994024,0.290659,2.368008,-0.0,0.024512,0.199632,11.187488,-4.350978,-7.617699,0.0,0.002592,0.148471,5.224648,0.0,-1e-06,-0.0,0.024512,0.199632,-2.965099,0.009415,0.363946,0.121886,-0.0,-0.0,67.20273,80.201106,-76.528267,0.213508,9.7e-05,0.000802,6.259185,22.225693,-29.978008,-0.0,0.024512,0.199632,-2.906481,0.009045,0.356744,-0.121886,-0.0,-0.0,38.464183,-74.408771,49.323135,-0.218408,9.7e-05,0.000802,6.803643,-22.4119,32.311719,-0.0,-0.0,-0.0,-1.215487,0.0,-1.1e-05,-0.0,-0.0,-0.0,-1.215443,-0.0,0.0,0.07833,-0.0,0.001662,-5.691005,2.038228,-0.197363,0.016833,-0.0,-0.321198,-3.221496,-3.676935,-0.27185,6.987467,1.61047,-2.700875,-13.206595,45.793498,35.616281,-0.07833,0.0,-0.001662,-6.897743,-5.131808,0.05257,-0.016801,-0.0,-0.320574,-0.270676,1.355334,0.017376,2.469903,0.847259,-2.748833,-8.464725,-46.872419,-29.482126
