pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.033938,-0.010927,0.671062,-0.0,0.0,1.227069,0.0,0.0,0.0,-8.135875,-3.526743,-0.437411,9.92337,1.035934,8.468554,0.0,0.029521,0.24043,12.740137,2.500783,2.528685,0.0,0.003156,0.180812,2.441769,-0.0,-1e-06,0.0,0.029521,0.240431,-4.274644,0.01957,0.524383,0.145036,-0.0,0.0,10.366713,82.460689,-11.857092,0.24665,0.000105,0.00087,2.06761,10.630565,-21.197455,0.0,0.029521,0.240431,-4.221149,0.019084,0.517816,-0.145035,-0.0,0.0,8.517477,-75.460483,11.023661,-0.244526,0.000105,0.00087,0.92002,-6.486643,15.652557,0.0,-0.0,0.0,-2.456013,1e-06,3.9e-05,0.0,-0.0,0.0,-2.45605,-0.0,0.0,0.090837,0.0,0.003896,2.100271,-0.089123,0.111713,0.016946,-0.0,-0.323345,8.106875,0.242239,0.408451,-12.730157,-4.358267,5.419026,-17.763008,48.824088,36.835538,-0.090837,-0.0,-0.003896,10.160512,-4.901253,-0.098121,-0.016998,0.0,-0.324336,-6.962337,-2.182953,0.232751,-8.369605,2.569217,-3.367545,-12.964212,-44.632414,-36.34983
-0.031699,-0.011875,0.670891,-0.0,0.0,1.089873,0.0,0.0,0.0,-8.133357,-3.603043,-0.4468,9.924401,1.028287,8.405813,0.0,0.029521,0.240431,12.555772,2.413763,3.068462,0.0,0.003156,0.180812,2.314281,-0.0,-0.0,0.0,0.029521,0.240431,-4.035083,0.017439,0.495037,0.145035,0.0,0.0,8.224781,82.553969,-9.404876,0.24665,0.000105,0.00087,1.986174,10.046388,-21.653759,0.0,0.029521,0.240431,-3.981589,0.01698,0.488478,-0.145036,-0.0,-0.0,7.626217,-75.548101,9.862362,-0.244526,0.000105,0.00087,0.973163,-6.636231,16.207472,0.0,-0.0,0.0,-2.462329,-0.0,-2.2e-05,0.0,-0.0,0.0,-2.462329,-0.0,-0.0,0.090837,-0.0,0.003906,2.365641,0.17657,0.120359,0.016946,-0.0,-0.323345,7.616782,0.127124,0.391326,-12.03847,-4.414,5.732045,-18.651382,49.425226,37.460794,-0.090837,-0.0,-0.003906,10.073797,-4.621831,-0.121989,-0.016998,-0.0,-0.324336,-6.534886,-2.261697,0.213937,-8.061631,2.642591,-3.597523,-13.82792,-45.0363,-36.168724
-0.029149,-0.01289,0.670855,-0.0,0.0,1.021232,-0.0,0.0,-0.0,-8.160588,-3.628544,-0.45084,9.929469,0.994266,8.125417,0.0,0.029521,0.24043,12.426436,2.44504,3.581915,-0.0,0.003156,0.180812,2.183283,1e-06,4e-06,0.0,0.029521,0.240431,-3.820276,0.01563,0.468642,0.145035,0.0,0.0,6.147898,82.622408,-7.035489,0.24665,0.000105,0.00087,1.921279,9.656714,-21.861895,0.0,0.029521,0.240431,-3.766779,0.015197,0.462157,-0.145036,0.0,0.0,7.643625,-75.742932,9.850637,-0.244526,0.000105,0.00087,1.0176,-6.823932,16.465001,0.0,-0.0,0.0,-2.473721,-2e-06,-7.1e-05,0.0,-0.0,0.0,-2.473721,-0.0,-0.0,0.090836,-0.0,0.003924,2.591789,0.389429,0.127066,0.016946,-0.0,-0.323345,7.237798,0.150882,0.370304,-11.573309,-4.44974,5.943553,-19.225517,49.807894,37.88777,-0.090836,-0.0,-0.003924,9.983448,-4.344649,-0.145169,-0.016998,-0.0,-0.324336,-6.07908,-2.286033,0.197694,-7.930724,2.703034,-3.753669,-14.679617,-45.424112,-35.966564
-0.026304,-0.013979,0.670896,-0.0,0.0,1.099205,0.0,0.0,0.0,-8.209117,-3.517448,-0.438541,9.937885,0.931928,7.61303,0.0,0.029521,0.240431,12.31157,2.425041,3.843324,-0.0,0.003156,0.180812,2.087172,2e-06,5e-06,0.0,0.029521,0.240431,-3.718047,0.014807,0.456126,0.145035,-0.0,-0.0,4.447952,82.736636,-5.094121,0.24665,0.000105,0.00087,1.868007,9.372777,-21.950017,0.0,0.029521,0.240431,-3.664503,0.014381,0.449545,-0.145035,-0.0,-0.0,8.292137,-75.9031,10.650223,-0.244526,0.000105,0.00087,1.114658,-7.363586,16.616981,0.0,0.0,0.0,-2.455712,-1e-06,-6e-05,0.0,0.0,0.0,-2.455749,-0.0,-0.0,0.090837,0.0,0.003896,2.805996,0.50954,0.134637,0.016946,0.0,-0.323345,6.886411,0.356518,0.33994,-11.32192,-4.428031,5.984562,-19.369513,49.919124,38.060331,-0.090837,0.0,-0.003896,9.880397,-4.11904,-0.163213,-0.016998,-0.0,-0.324336,-5.574436,-2.166314,0.187081,-8.033831,2.780687,-3.876518,-15.534727,-45.826277,-35.811109
-0.023238,-0.014979,0.670876,-0.0,0.0,1.340656,0.0,0.0,-0.0,-8.228217,-3.234158,-0.40375,9.946603,0.865309,7.065677,-0.0,0.029521,0.24043,12.094305,2.05168,3.586888,-0.0,0.003156,0.180812,2.096169,1e-06,0.0,-0.0,0.029521,0.240431,-3.808923,0.015539,0.467289,0.145035,0.0,0.0,3.158391,83.034384,-3.613026,0.24665,0.000105,0.00087,1.794568,8.924072,-22.242308,-0.0,0.029521,0.240431,-3.755474,0.015106,0.460769,-0.145036,-0.0,-0.0,8.295185,-75.790415,10.675376,-0.244526,0.000105,0.00087,1.336318,-8.482774,17.150957,0.0,0.0,-0.0,-2.366726,2e-06,8.4e-05,0.0,0.0,-0.0,-2.366726,-0.0,-0.0,0.090843,-0.0,0.003755,3.090915,0.565504,0.146808,0.016946,0.0,-0.323345,6.33331,0.66321,0.29565,-11.070164,-4.321751,5.871104,-19.21137,49.844829,38.057005,-0.090843,0.0,-0.003755,9.748733,-3.965925,-0.174114,-0.016998,0.0,-0.324336,-5.032454,-1.875322,0.181647,-8.278257,2.89283,-4.02493,-16.413822,-46.27766,-35.786626
-0.019797,-0.015573,0.670787,-0.0,0.0,1.62827,0.0,0.0,0.0,-8.173049,-2.88167,-0.358317,9.952328,0.817129,6.670546,-0.0,0.029521,0.24043,11.725155,1.330503,2.891269,0.0,0.003156,0.180812,2.195497,1e-06,-1e-06,-0.0,0.029521,0.240431,-4.031936,0.017409,0.494575,0.145036,-0.0,0.0,2.17882,83.545173,-2.485791,0.24665,0.000105,0.00087,1.668422,8.165749,-22.783242,-0.0,0.029521,0.240431,-3.978394,0.016949,0.488021,-0.145036,-0.0,-0.0,7.160037,-75.448107,9.279932,-0.244526,0.000105,0.00087,1.648552,-9.825815,18.171469,0.0,-0.0,0.0,-2.218842,1e-06,4.6e-05,0.0,-0.0,0.0,-2.218804,-0.0,0.0,0.090853,-0.0,0.00352,3.504977,0.671485,0.16325,0.016946,-0.0,-0.323345,5.439909,0.934963,0.240992,-10.644895,-4.176923,5.740333,-18.878371,49.661633,37.950044,-0.090853,-0.0,-0.00352,9.559137,-3.820985,-0.182854,-0.016998,0.0,-0.324336,-4.473855,-1.515795,0.175494,-8.507375,2.991962,-4.150825,-17.241247,-46.733418,-35.888775
-0.015845,-0.015687,0.670697,-0.0,0.0,1.77943,0.0,0.0,-0.0,-8.075083,-2.618323,-0.323287,9.956058,0.78547,6.410891,0.0,0.029521,0.240431,11.325573,0.636578,2.235146,-0.0,0.003156,0.180812,2.257919,-1e-06,-0.0,0.0,0.029521,0.240431,-4.208587,0.018972,0.516323,0.145036,-0.0,0.0,1.874902,84.106137,-2.125428,0.24665,0.000105,0.00087,1.490118,7.214604,-23.300779,0.0,0.029521,0.240431,-4.155092,0.018493,0.509748,-0.145036,0.0,-0.0,5.906234,-75.182658,7.701778,-0.244526,0.000105,0.00087,1.914346,-10.780532,19.20411,0.0,0.0,-0.0,-2.074543,1e-06,5.1e-05,0.0,0.0,-0.0,-2.074544,0.0,0.0,0.090861,-0.0,0.003291,4.048551,0.930631,0.179446,0.016946,-0.0,-0.323345,4.264263,1.087811,0.183174,-10.077667,-4.098613,5.776208,-18.434703,49.420011,37.827145,-0.090861,-0.0,-0.003291,9.281944,-3.616225,-0.194179,-0.016998,-0.0,-0.324336,-3.862408,-1.203054,0.16202,-8.661551,3.012725,-4.145844,-17.939154,-47.135986,-36.061657
-0.011576,-0.015811,0.670556,-0.0,0.0,1.694073,-0.0,0.0,0.0,-8.024879,-2.490096,-0.306342,9.959361,0.75588,6.168357,0.0,0.029521,0.24043,11.073872,0.244824,2.044021,-0.0,0.003156,0.180812,2.182115,0.0,1e-06,-0.0,0.029521,0.240431,-4.241892,0.019273,0.520418,0.145036,0.0,0.0,2.311888,84.544068,-2.590018,0.24665,0.000105,0.00087,1.306709,6.31789,-23.649576,-0.0,0.029521,0.240431,-4.188397,0.01879,0.513829,-0.145036,0.0,-0.0,5.469014,-75.155563,7.139295,-0.244526,0.000105,0.00087,2.064193,-11.247223,19.845419,0.0,0.0,0.0,-1.980319,1e-06,7.1e-05,0.0,0.0,0.0,-1.980319,-0.0,0.0,0.090867,-0.0,0.003142,4.726198,1.332063,0.192974,0.016946,0.0,-0.323345,2.911772,1.129121,0.123999,-9.521916,-4.156956,6.066782,-17.983973,49.211622,37.8492,-0.090867,-0.0,-0.003142,8.933899,-3.351432,-0.207582,-0.016998,-0.0,-0.324336,-3.146805,-0.961119,0.138618,-8.805693,2.944584,-3.972252,-18.531702,-47.485931,-36.259183
-0.007392,-0.0165,0.67025,-0.0,0.0,1.373216,0.0,0.0,-0.0,-8.057831,-2.410084,-0.297199,9.961992,0.730307,5.958898,-0.0,0.029521,0.24043,10.980223,0.026487,2.316244,-0.0,0.003156,0.180812,2.006452,-0.0,5e-06,0.0,0.029521,0.240431,-4.208549,0.018973,0.516353,0.145036,-0.0,-0.0,2.023405,84.847752,-2.261141,0.24665,0.000105,0.00087,1.174598,5.67612,-23.954232,0.0,0.029521,0.240431,-4.155102,0.018493,0.509785,-0.145036,-0.0,-0.0,5.629738,-75.187453,7.343278,-0.244526,0.000105,0.00087,2.177805,-11.63334,20.229676,0.0,-0.0,-0.0,-1.928153,-0.0,1.3e-05,0.0,-0.0,-0.0,-1.928116,0.0,-0.0,0.090869,-0.0,0.003059,5.566442,1.801108,0.204556,0.016946,-0.0,-0.323345,1.410817,1.066117,0.060845,-9.060944,-4.33748,6.564382,-17.732899,49.181464,38.176116,-0.090869,-0.0,-0.003059,8.591903,-3.044398,-0.222691,-0.016998,-0.0,-0.324336,-2.408123,-0.786358,0.109735,-8.969552,2.803542,-3.653757,-18.995239,-47.754019,-36.408214
-0.003611,-0.0176,0.669885,-0.0,0.0,0.856777,-0.0,0.0,0.0,-8.10246,-2.278632,-0.281886,9.962909,0.721107,5.883568,0.0,0.029521,0.24043,10.888536,-0.291979,2.805466,-0.0,0.003156,0.180812,1.851865,-0.0,2e-06,0.0,0.029521,0.240431,-4.227833,0.019145,0.518635,0.145035,0.0,-0.0,-0.252334,85.088318,0.226239,0.24665,0.000105,0.00087,1.107425,5.341134,-24.186234,0.0,0.029521,0.240431,-4.174336,0.018663,0.512082,-0.145036,0.0,0.0,5.827708,-75.096414,7.611803,-0.244526,0.000105,0.00087,2.30471,-12.088203,20.581441,0.0,-0.0,0.0,-1.877343,-1e-06,-4.3e-05,0.0,-0.0,0.0,-1.877305,-0.0,0.0,0.090872,0.0,0.002978,6.517353,2.31419,0.210374,0.016946,0.0,-0.323345,-0.17238,0.827444,-0.007792,-8.673088,-4.573189,7.15081,-17.883057,49.431209,38.835312,-0.090872,0.0,-0.002978,8.318897,-2.704986,-0.240286,-0.016998,0.0,-0.324336,-1.833591,-0.682971,0.0852,-9.071742,2.581947,-3.199369,-19.178099,-47.845205,-36.415686
