pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
0.084834,0.000758,0.793645,-0.0,0.0,2.042192,0.0,-0.0,0.0,-1.003226,5.758045,0.352635,9.997902,-0.173718,-1.414803,0.0,0.034049,0.277304,10.734975,0.940646,-7.904822,0.0,0.003573,0.204687,2.700835,1e-06,6e-06,-0.0,0.034049,0.277304,0.104962,1.3e-05,-0.012869,0.167773,0.0,0.0,12.377406,75.99722,-15.826129,0.280428,0.000124,0.001028,0.007598,0.610552,-10.587466,-0.0,0.034049,0.277304,0.159513,2.7e-05,-0.019591,-0.167774,-0.0,-0.0,24.916187,-81.323135,28.868481,-0.265675,0.000124,0.001028,0.665373,-5.265351,14.200458,0.0,-0.0,0.0,4.929301,-2e-06,5.1e-05,0.0,-0.0,0.0,4.929301,-0.0,0.0,0.111486,-0.0,-0.009615,8.315218,6.586979,-0.042928,0.020913,0.0,-0.399043,-5.635465,-0.637445,-0.326859,-4.917639,-3.992982,7.367346,-9.963422,48.036328,32.087573,-0.111486,0.0,0.009615,4.696318,6.931257,-0.52915,-0.021127,0.0,-0.403129,2.51814,-0.661721,-0.117485,-5.36083,3.269887,-5.70376,-13.188277,-46.375355,-36.994497
0.083155,0.000486,0.794815,-0.0,0.0,1.424891,0.0,0.0,0.0,-1.073605,5.844267,0.36153,9.999779,-0.051657,-0.420728,0.0,0.034049,0.277304,10.541752,0.673746,-8.427692,0.0,0.003573,0.204687,3.101402,-1e-06,3e-06,0.0,0.034048,0.277304,-0.354497,0.000135,0.043497,0.167773,-0.0,0.0,11.488562,76.37215,-14.601613,0.280428,0.000124,0.001028,0.016842,0.693486,-10.872305,0.0,0.034049,0.277304,-0.299947,9.7e-05,0.036777,-0.167773,-0.0,-0.0,26.096666,-80.672696,30.547973,-0.265675,0.000124,0.001028,0.521835,-4.646182,12.635337,0.0,-0.0,0.0,4.548339,-0.0,-9e-06,0.0,-0.0,0.0,4.54834,0.0,0.0,0.111548,-0.0,-0.008874,8.232876,6.615326,-0.044555,0.020913,-0.0,-0.399043,-5.385423,-1.005715,-0.329595,-4.802113,-4.105308,7.646084,-8.201364,47.100882,31.908871,-0.111548,-0.0,0.008874,4.66378,6.789977,-0.519758,-0.021127,0.0,-0.403129,2.667849,-0.971693,-0.117265,-5.693908,3.298819,-5.650633,-14.306862,-47.153522,-37.522221
0.080376,-0.000473,0.795582,-0.0,0.0,1.338474,0.0,0.0,0.0,-1.135048,5.838777,0.364336,9.999909,0.018541,0.150506,-0.0,0.034049,0.277305,10.35541,0.495377,-8.628868,0.0,0.003573,0.204687,3.333183,-2e-06,-7e-06,-0.0,0.034049,0.277305,-0.732271,0.000574,0.089902,0.167773,0.0,-0.0,10.927939,76.689043,-13.81703,0.280428,0.000124,0.001028,0.009814,0.631176,-11.18911,0.0,0.034049,0.277305,-0.677722,0.000492,0.083184,-0.167774,-0.0,-0.0,27.719628,-80.129416,32.711852,-0.265675,0.000124,0.001028,0.406392,-4.12749,11.04269,0.0,-0.0,-0.0,4.303394,3e-06,-9.1e-05,0.0,-0.0,-0.0,4.303426,-0.0,0.0,0.111585,-0.0,-0.008397,8.146336,6.535563,-0.038368,0.020913,-0.0,-0.399043,-5.070729,-1.313597,-0.323892,-4.762041,-4.043294,7.531782,-7.131611,46.461368,31.722233,-0.111585,0.0,0.008397,4.941842,6.443405,-0.53591,-0.021127,-0.0,-0.403129,2.484552,-1.064789,-0.107191,-5.921006,3.496792,-5.979652,-15.344435,-47.917581,-38.252321
0.075971,-0.002606,0.795961,-0.0,0.0,1.732109,0.0,-0.0,0.0,-1.277222,5.732984,0.36487,9.999899,0.032124,0.26187,0.0,0.034049,0.277305,10.324083,0.471282,-8.439136,-0.0,0.003573,0.204687,3.455055,-1e-06,5e-06,0.0,0.034049,0.277305,-0.988564,0.001047,0.121251,0.167773,-0.0,-0.0,11.291517,77.046146,-14.184205,0.280428,0.000124,0.001028,-0.029381,0.296719,-11.412484,0.0,0.034049,0.277305,-0.934042,0.000933,0.114622,-0.167774,0.0,0.0,29.6303,-79.772252,35.131239,-0.265675,0.000124,0.001028,0.327849,-3.764864,9.687067,-0.0,-0.0,0.0,4.220581,3e-06,-7.4e-05,-0.0,-0.0,0.0,4.220613,-0.0,-0.0,0.111597,-0.0,-0.008236,8.090454,6.276202,-0.019647,0.020913,0.0,-0.399043,-4.705331,-1.512139,-0.308651,-4.824504,-3.822954,7.047082,-6.739966,46.151114,31.540943,-0.111597,0.0,0.008235,5.548668,5.846838,-0.573062,-0.021127,0.0,-0.403129,1.945343,-0.918059,-0.086409,-6.129186,3.843398,-6.613986,-15.976786,-48.417001,-38.878178
0.069944,-0.005936,0.796232,-0.0,0.0,2.127277,0.0,-0.0,0.0,-1.635982,5.606028,0.374417,9.99996,0.034888,0.284439,-0.0,0.034049,0.277304,10.603657,0.470684,-8.026303,0.0,0.003573,0.204687,3.58242,-1e-06,1e-06,-0.0,0.034049,0.277304,-1.137451,0.001387,0.139653,0.167773,0.0,0.0,13.057714,77.465608,-16.265261,0.280428,0.000124,0.001028,-0.088767,-0.20672,-11.468438,-0.0,0.034049,0.277304,-1.082898,0.001258,0.132947,-0.167773,0.0,0.0,31.36068,-79.62431,37.229469,-0.265675,0.000124,0.001028,0.2811,-3.525798,8.802347,0.0,-0.0,0.0,4.208187,-2e-06,5.1e-05,0.0,-0.0,0.0,4.208187,-0.0,0.0,0.111599,0.0,-0.008211,8.12767,5.811859,0.013437,0.020913,-0.0,-0.399043,-4.360811,-1.599344,-0.289336,-4.998438,-3.594846,6.506701,-6.770396,46.16307,31.535315,-0.111598,0.0,0.008211,6.292306,5.114331,-0.609965,-0.021127,-0.0,-0.403129,1.215952,-0.656213,-0.056782,-6.455975,4.165926,-7.149135,-15.96045,-48.450288,-39.02878
0.062686,-0.009719,0.796525,-0.0,0.0,2.216397,0.0,-0.0,0.0,-2.205425,5.531253,0.397054,9.999647,0.071251,0.579935,0.0,0.034049,0.277304,11.104954,0.199349,-7.727119,0.0,0.003573,0.204687,3.724035,-1e-06,-2e-06,0.0,0.034049,0.277304,-1.212461,0.001575,0.148946,0.167773,-0.0,-0.0,15.928768,77.759989,-19.70695,0.280428,0.000124,0.001028,-0.124775,-0.497985,-11.642505,0.0,0.034049,0.277305,-1.157913,0.001438,0.142208,-0.167773,-0.0,-0.0,33.188917,-79.612617,39.356086,-0.265675,0.000124,0.001028,0.240885,-3.260885,8.136094,0.0,-0.0,0.0,4.167029,2e-06,-6.4e-05,0.0,-0.0,0.0,4.16706,-0.0,0.0,0.111604,-0.0,-0.008131,8.282654,5.220153,0.056736,0.020913,-0.0,-0.399043,-4.132621,-1.712811,-0.27826,-5.273771,-3.437895,6.082412,-7.017539,46.480971,31.846881,-0.111604,0.0,0.008131,7.022109,4.389782,-0.636663,-0.021127,-0.0,-0.403129,0.361751,-0.382507,-0.017754,-6.823302,4.340065,-7.363781,-15.435377,-48.125161,-38.816088
0.055027,-0.012718,0.796714,-0.0,0.0,2.120048,0.0,0.0,0.0,-2.786969,5.48589,0.421808,9.998754,0.129781,1.056432,-0.0,0.034049,0.277304,11.526859,-0.397094,-7.778222,0.0,0.003573,0.204687,3.848988,0.0,-0.0,-0.0,0.034049,0.277304,-1.228776,0.001618,0.150826,0.167773,-0.0,-0.0,18.587498,77.869785,-22.916627,0.280428,0.000124,0.001028,-0.10234,-0.258485,-12.40871,-0.0,0.034049,0.277304,-1.17422,0.001478,0.144145,-0.167773,0.0,-0.0,36.168109,-79.571034,42.82127,-0.265675,0.000124,0.001028,0.183058,-2.810861,7.180452,0.0,0.0,0.0,4.091083,-5e-06,0.000147,0.0,-0.0,0.0,4.091084,-0.0,0.0,0.111615,-0.0,-0.007983,8.495178,4.700198,0.096956,0.020913,-0.0,-0.399043,-4.098306,-2.098229,-0.289681,-5.571843,-3.280315,5.653738,-7.385521,47.036354,32.463472,-0.111615,-0.0,0.007983,7.705404,3.733139,-0.654801,-0.021127,-0.0,-0.403129,-0.624549,-0.115181,0.032106,-7.020553,4.400851,-7.412267,-14.807669,-47.774305,-38.716292
0.047871,-0.014225,0.796655,-0.0,0.0,2.119955,0.0,-0.0,0.0,-3.178274,5.392082,0.433124,9.998244,0.154974,1.262126,0.0,0.034049,0.277304,11.672792,-0.954,-7.954235,-0.0,0.003573,0.204687,3.978123,-0.0,-3e-06,-0.0,0.034048,0.277304,-1.178171,0.001486,0.144635,0.167774,-0.0,-0.0,19.613016,78.036612,-24.096745,0.280428,0.000124,0.001028,-0.005066,0.526453,-13.977374,0.0,0.034049,0.277304,-1.123584,0.001353,0.137883,-0.167773,0.0,-0.0,40.344855,-79.3588,47.763028,-0.265675,0.000124,0.001028,0.119447,-2.229312,5.935846,0.0,-0.0,0.0,4.035978,3e-06,-7.4e-05,0.0,-0.0,0.0,4.035951,-0.0,0.0,0.111623,0.0,-0.007876,8.65822,4.39411,0.122065,0.020913,-0.0,-0.399043,-4.23286,-2.819748,-0.325741,-5.803561,-3.032891,5.06713,-7.787422,47.681137,33.233146,-0.111623,-0.0,0.007876,8.358923,3.135573,-0.667076,-0.021127,0.0,-0.403129,-1.662714,0.116305,0.088829,-7.021345,4.468147,-7.545882,-14.383074,-47.641372,-39.010263
0.04153,-0.01455,0.796472,-0.0,0.0,2.264777,0.0,0.0,0.0,-3.345667,5.229322,0.427726,9.99875,0.126853,1.032143,0.0,0.034049,0.277304,11.584345,-1.158814,-7.823222,0.0,0.003573,0.204687,4.149137,-1e-06,-5e-06,0.0,0.034049,0.277304,-1.062988,0.001209,0.130539,0.167773,-0.0,0.0,18.129844,78.391659,-22.158392,0.280428,0.000124,0.001028,0.200819,1.820331,-16.337435,0.0,0.034049,0.277304,-1.008524,0.001088,0.12378,-0.167773,0.0,-0.0,43.685337,-79.037877,51.818746,-0.265675,0.000124,0.001028,0.086206,-1.867827,5.151178,0.0,-0.0,0.0,3.990822,-2e-06,6.1e-05,0.0,-0.0,0.0,3.990795,0.0,0.0,0.111629,-0.0,-0.007788,8.695544,4.226496,0.13537,0.020913,-0.0,-0.399043,-4.348223,-3.579681,-0.363335,-5.989025,-2.759843,4.447517,-8.16553,48.280664,33.978777,-0.111629,0.0,0.007788,8.963839,2.594063,-0.673298,-0.021127,0.0,-0.403129,-2.605382,0.22873,0.141752,-7.015621,4.577788,-7.766083,-14.146726,-47.670926,-39.520332
0.035738,-0.014275,0.796606,-0.0,0.0,2.30034,0.0,0.0,0.0,-3.378395,5.046398,0.414197,9.999191,0.099611,0.810498,-0.0,0.034049,0.277304,11.388195,-1.159552,-7.424168,0.0,0.003573,0.204687,4.346014,-0.0,-5e-06,-0.0,0.034048,0.277304,-0.893881,0.000855,0.109624,0.167773,-0.0,0.0,13.8496,78.653426,-16.890884,0.280428,0.000124,0.001028,0.613402,3.798867,-19.639336,-0.0,0.034049,0.277305,-0.839284,0.000754,0.102971,-0.167773,-0.0,-0.0,44.41992,-78.856508,52.798954,-0.265675,0.000124,0.001028,0.104223,-2.083492,5.521843,-0.0,-0.0,0.0,3.840072,2e-06,-5.1e-05,-0.0,-0.0,0.0,3.840075,-0.0,0.0,0.111649,0.0,-0.007494,8.601445,4.036523,0.14822,0.020913,-0.0,-0.399043,-4.208019,-4.017961,-0.367629,-6.223153,-2.653472,4.158109,-8.569782,48.820474,34.628936,-0.111649,0.0,0.007494,9.419147,2.126972,-0.669341,-0.021127,0.0,-0.403129,-3.348042,0.201788,0.181394,-7.118111,4.62354,-7.818366,-13.82561,-47.607853,-39.85999
