pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.024883,-0.034579,0.872211,-0.0,0.0,-5.164762,0.0,-0.0,0.0,-5.237099,1.325898,0.130445,9.999574,-0.068771,-0.560163,0.0,0.036331,0.295895,24.463424,1.815568,6.967722,-0.0,0.003784,0.216789,-3.535116,0.0,1e-06,-0.0,0.036331,0.295895,0.908605,0.000885,-0.111663,0.185652,-0.0,0.0,-27.132617,76.292018,34.05659,0.320814,0.000133,0.001104,-0.27308,-0.642909,-22.713675,0.0,0.036331,0.295895,0.961583,0.000991,-0.118169,-0.185652,-0.0,-0.0,-14.763147,-77.22901,-18.349518,-0.31527,0.000133,0.001104,2.204832,-9.351198,26.389658,0.0,-0.0,0.0,0.893191,1e-06,-6.7e-05,0.0,-0.0,0.0,0.893221,-0.0,0.0,0.116033,0.0,-0.001809,7.008081,0.427844,0.341604,0.022487,0.0,-0.429086,1.831953,-1.855757,0.125582,-12.517006,-2.567116,2.287799,-10.120092,45.835299,34.363133,-0.116033,0.0,0.001809,7.158795,-2.485616,-0.220407,-0.022775,-0.0,-0.434573,-1.408674,0.046047,0.074394,-10.265238,-3.281802,8.208725,-7.130532,-38.611356,-30.931365
-0.024572,-0.03342,0.871145,-0.0,0.0,-4.347727,0.0,0.0,0.0,-5.202325,1.194484,0.117149,9.999862,-0.038588,-0.314277,-0.0,0.036331,0.295895,24.465963,1.819572,6.400211,-0.0,0.003784,0.21679,-3.696612,0.0,-1e-06,-0.0,0.036331,0.295895,0.456685,0.000225,-0.05616,0.185652,0.0,0.0,-25.307967,76.860515,31.503524,0.320814,0.000133,0.001104,-0.331445,-0.761562,-25.20075,0.0,0.036331,0.295896,0.509667,0.000279,-0.062623,-0.185652,-0.0,0.0,-16.892002,-77.072019,-21.040019,-0.31527,0.000133,0.001104,2.575766,-9.545029,30.256621,0.0,-0.0,0.0,1.464022,-0.0,2.8e-05,0.0,-0.0,0.0,1.464023,-0.0,0.0,0.116009,0.0,-0.002965,6.816046,0.246438,0.342998,0.022487,0.0,-0.429086,1.776635,-1.642534,0.118497,-12.31309,-2.109536,1.514131,-9.35855,45.338837,34.247002,-0.116009,0.0,0.002965,7.557096,-2.563179,-0.227582,-0.022775,-0.0,-0.434573,-2.063263,0.263528,0.112875,-11.44764,-3.206088,8.100891,-7.239469,-39.188897,-31.981493
-0.02418,-0.033538,0.870537,-0.0,0.0,-3.807505,0.0,0.0,0.0,-5.245736,1.086855,0.107009,9.999969,-0.016133,-0.131397,0.0,0.036331,0.295896,24.46209,1.85057,5.970708,-0.0,0.003784,0.21679,-3.622637,-0.0,-1e-06,0.0,0.036331,0.295896,0.099745,9e-06,-0.012284,0.185652,0.0,0.0,-23.624479,77.450718,29.144762,0.320814,0.000133,0.001104,-0.239797,-0.262674,-28.563986,0.0,0.036331,0.295896,0.152725,2.5e-05,-0.018771,-0.185653,-0.0,0.0,-18.426145,-76.842155,-23.029277,-0.31527,0.000133,0.001104,3.368278,-10.402408,36.061329,0.0,0.0,0.0,1.932172,-0.0,3e-06,0.0,0.0,0.0,1.932173,-0.0,-0.0,0.115981,0.0,-0.003913,6.798798,0.06404,0.352933,0.022487,0.0,-0.429086,1.606937,-1.348523,0.103071,-12.14743,-1.812782,1.015485,-8.913545,45.021007,34.128519,-0.115981,0.0,0.003913,7.910926,-2.605139,-0.235369,-0.022775,0.0,-0.434573,-2.585145,0.443265,0.145477,-12.296513,-3.17982,8.078211,-7.364043,-39.587613,-32.652925
-0.023417,-0.035172,0.870456,-0.0,0.0,-3.685245,-0.0,0.0,0.0,-5.370389,0.982322,0.097795,9.999915,0.014614,0.11897,0.0,0.036331,0.295895,24.390269,1.911954,5.675648,0.0,0.003784,0.216789,-3.235006,-0.0,-0.0,-0.0,0.036331,0.295895,-0.097836,9e-06,0.011953,0.185652,-0.0,0.0,-20.178404,77.777037,24.797799,0.320814,0.000133,0.001104,0.303248,1.59024,-32.822416,-0.0,0.036331,0.295895,-0.044859,2e-06,0.005432,-0.185652,-0.0,0.0,-19.465532,-76.501773,-24.460772,-0.31527,0.000133,0.001104,4.737779,-11.903162,43.593894,0.0,0.0,0.0,2.260991,-0.0,-9e-06,0.0,0.0,0.0,2.260963,-0.0,0.0,0.115957,0.0,-0.004578,7.011328,0.001957,0.367787,0.022487,0.0,-0.429086,1.29883,-1.109786,0.08061,-12.036139,-1.747428,0.921275,-8.826624,44.926478,34.034983,-0.115957,-0.0,0.004578,8.206325,-2.581224,-0.245902,-0.022775,-0.0,-0.434573,-2.967692,0.555273,0.169906,-12.670897,-3.302824,8.312189,-7.418016,-39.717294,-32.854788
-0.02216,-0.037121,0.870874,-0.0,0.0,-3.859914,0.0,0.0,0.0,-5.476574,0.868785,0.087304,9.999738,0.059828,0.487253,-0.0,0.036331,0.295896,24.128625,1.972538,5.460431,-0.0,0.003784,0.216789,-2.62698,-0.0,-1e-06,-0.0,0.036331,0.295896,-0.109546,1.4e-05,0.013381,0.185652,0.0,0.0,-13.329346,77.357254,16.536146,0.320814,0.000133,0.001104,1.543176,4.944246,-37.352228,-0.0,0.036331,0.295896,-0.056564,5e-06,0.006932,-0.185652,-0.0,0.0,-20.013788,-76.162572,-25.290833,-0.31527,0.000133,0.001104,6.597487,-13.759861,51.315081,0.0,0.0,0.0,2.448816,0.0,4e-06,0.0,0.0,0.0,2.448787,-0.0,0.0,0.115941,0.0,-0.004958,7.300685,0.179098,0.371734,0.022487,0.0,-0.429086,0.973018,-1.140419,0.060648,-11.940986,-1.837803,1.105995,-8.841401,44.900035,33.957129,-0.115941,0.0,0.004958,8.412297,-2.496164,-0.258352,-0.022775,-0.0,-0.434573,-3.24211,0.579962,0.18632,-12.660328,-3.566827,8.790146,-7.365519,-39.650891,-32.788685
-0.020763,-0.037845,0.871892,-0.0,0.0,-4.03135,-0.0,0.0,0.0,-5.447373,0.790005,0.079184,9.999376,0.091255,0.743186,0.0,0.036331,0.295895,23.584811,1.995039,5.381714,0.0,0.003784,0.21679,-1.976387,-0.0,1e-06,-0.0,0.036331,0.295896,0.036127,2e-06,-0.004423,0.185652,0.0,-0.0,-5.125121,76.149731,6.4811,0.320814,0.000133,0.001104,3.259935,8.784333,-41.541313,-0.0,0.036331,0.295896,0.089066,9e-06,-0.010953,-0.185652,0.0,0.0,-19.280808,-76.137731,-24.384199,-0.31527,0.000133,0.001104,8.869049,-15.937359,58.072085,0.0,0.0,0.0,2.460951,-0.0,-2e-05,0.0,0.0,0.0,2.460952,-0.0,0.0,0.11594,-0.0,-0.004983,7.437997,0.509515,0.35732,0.022487,-0.0,-0.429086,0.780942,-1.438002,0.050696,-11.815455,-1.914809,1.273827,-8.681889,44.755761,33.852511,-0.11594,-0.0,0.004983,8.486395,-2.375968,-0.269555,-0.022775,-0.0,-0.434573,-3.403715,0.493257,0.193047,-12.514709,-3.801851,9.21504,-7.27274,-39.550265,-32.709376
-0.019664,-0.037169,0.87318,-0.0,0.0,-4.022797,-0.0,0.0,0.0,-5.286849,0.777524,0.076833,9.999448,0.088786,0.72312,0.0,0.036331,0.295896,22.81366,1.973549,5.479937,-0.0,0.003784,0.21679,-1.403614,-0.0,0.0,-0.0,0.036331,0.295896,0.245733,6.5e-05,-0.030189,0.185652,-0.0,-0.0,2.327219,74.993257,-3.074744,0.320814,0.000133,0.001104,4.882612,11.843501,-44.960598,-0.0,0.036331,0.295896,0.298714,9.4e-05,-0.03666,-0.185652,0.0,-0.0,-15.758414,-76.677001,-19.771308,-0.31527,0.000133,0.001104,11.402473,-18.395554,63.210416,0.0,0.0,0.0,2.233631,-0.0,1e-05,0.0,0.0,0.0,2.233632,-0.0,0.0,0.115959,0.0,-0.004523,7.387917,0.782039,0.337351,0.022487,-0.0,-0.429086,0.711002,-1.775261,0.048238,-11.656864,-1.874911,1.236533,-8.351092,44.499926,33.73579,-0.115959,0.0,0.004523,8.464607,-2.235204,-0.279274,-0.022775,-0.0,-0.434573,-3.485152,0.29927,0.191784,-12.472344,-3.865439,9.330432,-7.20036,-39.510247,-32.731462
-0.018855,-0.036333,0.873723,-0.0,0.0,-3.927226,0.0,0.0,0.0,-5.113267,0.786929,0.07656,9.9995,0.079261,0.64549,-0.0,0.036331,0.295895,21.924757,1.949487,5.621513,0.0,0.003784,0.21679,-0.811783,-0.0,-0.0,0.0,0.036331,0.295896,0.404337,0.000174,-0.049634,0.185652,0.0,-0.0,9.996209,74.647213,-13.109788,0.320814,0.000133,0.001104,6.060333,13.738569,-47.478233,0.0,0.036331,0.295895,0.457273,0.000224,-0.056189,-0.185652,-0.0,0.0,-7.514734,-77.51346,-9.290931,-0.31527,0.000133,0.001104,13.839509,-20.903225,66.383667,0.0,0.0,0.0,1.763459,-0.0,2.7e-05,0.0,0.0,0.0,1.76346,-0.0,0.0,0.115992,0.0,-0.003571,7.340846,0.911463,0.32691,0.022487,-0.0,-0.429086,0.599228,-1.966997,0.041654,-11.488724,-1.767871,1.077995,-8.073619,44.312963,33.701489,-0.115992,-0.0,0.003571,8.462196,-2.076332,-0.290943,-0.022775,0.0,-0.434573,-3.592876,0.053274,0.190023,-12.580561,-3.797903,9.208303,-7.152381,-39.528716,-32.843573
-0.017996,-0.036402,0.873006,-0.0,0.0,-3.93973,-0.0,0.0,-0.0,-5.019968,0.750717,0.072419,9.999225,0.10493,0.854613,-0.0,0.036331,0.295895,20.888723,2.013794,5.682374,0.0,0.003784,0.216789,0.098664,0.0,-0.0,0.0,0.036331,0.295895,0.444432,0.00021,-0.054557,0.185652,-0.0,0.0,19.11579,74.798269,-24.843655,0.320814,0.000133,0.001104,6.919893,14.937919,-49.441137,-0.0,0.036331,0.295895,0.497447,0.000265,-0.061059,-0.185653,0.0,-0.0,6.051664,-77.700772,7.546273,-0.31527,0.000133,0.001104,15.994729,-23.32978,67.999792,0.0,0.0,0.0,1.165803,-0.0,-3.5e-05,0.0,0.0,0.0,1.165774,-0.0,0.0,0.116023,0.0,-0.002361,7.467823,0.994283,0.327185,0.022487,0.0,-0.429086,0.333602,-2.026885,0.023364,-11.319129,-1.721154,1.02955,-7.995641,44.32481,33.8288,-0.116023,-0.0,0.002361,8.543168,-1.914055,-0.30585,-0.022775,0.0,-0.434573,-3.789193,-0.170287,0.193038,-12.689545,-3.735499,9.096036,-7.14452,-39.613977,-33.040555
-0.016927,-0.037281,0.872097,-0.0,0.0,-4.130132,0.0,0.0,0.0,-5.004181,0.650655,0.062676,9.997858,0.172239,1.402921,0.0,0.036331,0.295895,19.622659,2.267478,5.809997,0.0,0.003784,0.21679,1.491275,-0.0,-1e-06,0.0,0.036331,0.295896,0.374955,0.000151,-0.046091,0.185652,-0.0,0.0,28.530687,74.652861,-36.863101,0.320814,0.000133,0.001104,7.901877,16.260696,-51.416786,0.0,0.036331,0.295896,0.427933,0.000196,-0.052591,-0.185652,0.0,0.0,20.587187,-76.351673,26.019117,-0.31527,0.000133,0.001104,18.088568,-25.693712,69.212855,0.0,0.0,0.0,0.591877,-0.0,-3.5e-05,0.0,0.0,0.0,0.591907,0.0,0.0,0.116041,-0.0,-0.001199,7.741198,1.138237,0.329476,0.022487,-0.0,-0.429086,-0.028815,-2.059817,-0.002026,-11.147087,-1.802057,1.216852,-8.053099,44.479582,34.08345,-0.116041,-0.0,0.001199,8.652023,-1.773232,-0.320405,-0.022775,0.0,-0.434573,-4.008486,-0.328401,0.198699,-12.643023,-3.740252,9.104229,-7.210042,-39.805755,-33.361776
