pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
0.060081,-0.037425,0.904173,-0.0,0.0,0.806797,-8.501518,5.728323,0.72941,9.998148,-0.159261,-1.297294,9.635546,-0.82137,0.417109,-0.87615,-1e-06,1e-06,1.575499,0.00266,-0.193486,-15.361656,66.072586,23.309568,23.621859,41.738613,-56.097307,1.628784,0.002841,-0.19998,-29.557941,-70.227083,-40.983666,20.805159,-39.203196,53.183258,4.016141,-2e-06,7e-05,4.016111,-0.0,0.0,7.020278,4.824832,0.072407,-0.689743,1.145494,-0.029268,-8.803265,-7.13077,11.9723,-11.407808,48.491102,34.483508,5.895398,0.038667,-0.311222,2.529559,5.728248,-0.258488,-10.358066,2.911524,-3.473575,-15.039144,-47.66872,-42.977688
0.060081,-0.037425,0.904173,-0.0,0.0,0.806797,-8.501518,5.728323,0.72941,9.998148,-0.159261,-1.297294,9.635546,-0.82137,0.417109,-0.87615,-1e-06,1e-06,1.575499,0.00266,-0.193486,-15.361656,66.072586,23.309568,23.621859,41.738613,-56.097307,1.628784,0.002841,-0.19998,-29.557941,-70.227083,-40.983666,20.805159,-39.203196,53.183258,4.016141,-2e-06,7e-05,4.016111,-0.0,0.0,7.020278,4.824832,0.072407,-0.689743,1.145494,-0.029268,-8.803265,-7.13077,11.9723,-11.407808,48.491102,34.483508,5.895398,0.038667,-0.311222,2.529559,5.728248,-0.258488,-10.358066,2.911524,-3.473575,-15.039144,-47.66872,-42.977688
0.060037,-0.03536,0.904698,-0.0,0.0,0.635426,-8.373352,5.66455,0.714834,9.998489,-0.149996,-1.221353,9.356968,-0.515379,0.599084,-1.016999,-1e-06,-4e-06,1.536494,0.002528,-0.188617,-15.557217,66.115425,23.583557,23.597052,42.546478,-55.013253,1.589813,0.002708,-0.195178,-26.85119,-70.326742,-37.29815,20.48531,-39.666983,51.840501,4.172302,1e-06,-1.2e-05,4.172303,-0.0,-0.0,7.169125,5.035975,0.060671,-0.832721,0.633856,-0.039047,-9.030814,-7.083014,11.779691,-11.821673,48.464594,33.928248,5.649249,0.068744,-0.299686,3.010546,5.442156,-0.300182,-10.630096,3.515389,-4.520396,-15.761437,-47.757605,-41.624945
0.05996,-0.033764,0.905191,-0.0,0.0,0.495493,-8.275583,5.599425,0.701746,9.998422,-0.149255,-1.215716,9.143082,-0.295391,0.62921,-1.267992,-1e-06,5e-06,1.562405,0.002615,-0.19177,-15.538271,66.188898,23.52332,23.611858,42.935928,-54.556723,1.615727,0.002796,-0.19831,-24.976918,-70.306122,-34.784507,20.374456,-40.026736,51.126807,4.267474,6e-06,-0.000133,4.267508,-1e-06,0.0,7.293045,5.227054,0.049497,-0.953988,0.185854,-0.048454,-9.153793,-7.042541,11.648713,-12.128654,48.410533,33.433045,5.475758,0.099621,-0.291941,3.309259,5.195838,-0.322905,-10.858045,3.929766,-5.21767,-16.354721,-47.870767,-40.656339
0.059773,-0.032722,0.905589,-0.0,0.0,0.371773,-8.208975,5.521613,0.688717,9.998382,-0.152279,-1.24011,8.978594,-0.177413,0.462048,-1.65026,-1e-06,-2e-06,1.620194,0.002815,-0.198987,-15.522749,66.300127,23.452028,23.732443,42.928832,-54.816537,1.673482,0.003002,-0.205463,-23.830066,-70.203894,-33.289181,20.445075,-40.275293,50.975635,4.271494,-0.0,2.4e-05,4.271496,-1e-06,0.0,7.377583,5.379988,0.04017,-1.04558,-0.168085,-0.056327,-9.12566,-7.009564,11.599278,-12.294173,48.358098,33.110735,5.391613,0.131454,-0.288943,3.388382,4.998316,-0.32482,-11.02159,4.131695,-5.538152,-16.685211,-47.94508,-40.154132
0.059383,-0.031942,0.905864,-0.0,0.0,0.246027,-8.138562,5.424869,0.673245,9.998388,-0.148144,-1.206868,8.7763,-0.125002,0.087536,-2.05729,-1e-06,3e-06,1.632845,0.002856,-0.20045,-15.889499,66.38965,23.958736,23.933056,42.835156,-55.350525,1.686091,0.003046,-0.206988,-22.77523,-70.085288,-31.917921,20.522565,-40.479789,50.89637,4.210704,5e-06,-0.000118,4.210704,-1e-06,0.0,7.412202,5.468503,0.0346,-1.100402,-0.415356,-0.061648,-8.988426,-6.975544,11.596225,-12.356422,48.342006,32.997675,5.362387,0.156635,-0.28855,3.34189,4.838648,-0.315728,-11.123449,4.214599,-5.658065,-16.739095,-47.902118,-39.812247
0.058737,-0.031018,0.906078,-0.0,0.0,0.160214,-8.012667,5.326882,0.655121,9.998646,-0.139452,-1.135525,8.442081,-0.101211,-0.473424,-2.325975,-0.0,-5e-06,1.591886,0.002716,-0.195437,-16.620994,66.330863,25.071611,24.190343,42.865857,-55.844556,1.645165,0.002901,-0.202021,-21.696364,-70.022239,-30.473603,20.502502,-40.598402,50.703066,4.145961,-3e-06,8.3e-05,4.145964,-0.0,0.0,7.38069,5.46314,0.0348,-1.098814,-0.538459,-0.062735,-8.842491,-6.922619,11.561207,-12.36371,48.355817,33.020618,5.343204,0.161769,-0.287755,3.274974,4.708354,-0.305696,-11.16904,4.276958,-5.757702,-16.630028,-47.755173,-39.411397
0.057817,-0.029677,0.906357,-0.0,0.0,0.18562,-7.79374,5.258374,0.636482,9.998512,-0.143233,-1.16667,7.927772,-0.082905,-1.092572,-2.383294,0.0,-2e-06,1.552521,0.002583,-0.190605,-17.351314,66.051467,26.288351,24.546206,43.021989,-56.379284,1.60584,0.002762,-0.197148,-20.938035,-70.040209,-29.421187,20.453883,-40.570118,50.627712,4.112613,3e-06,-9.5e-05,4.112646,-0.0,0.0,7.259295,5.352039,0.041305,-1.004522,-0.5282,-0.057262,-8.752804,-6.838485,11.441739,-12.342948,48.3646,33.06625,5.30768,0.136319,-0.284663,3.231949,4.604763,-0.298771,-11.160893,4.364508,-5.920306,-16.497065,-47.59326,-39.012572
0.056633,-0.027938,0.90682,-0.0,0.0,0.337457,-7.492319,5.231489,0.619256,9.997937,-0.171581,-1.397343,7.270459,-0.054422,-1.654597,-2.326952,-1e-06,-1e-06,1.541619,0.002546,-0.189253,-17.973592,65.687391,27.394979,24.967231,43.152066,-57.073255,1.594863,0.002726,-0.195817,-20.612493,-70.086757,-28.948975,20.482166,-40.470916,50.815521,4.091901,0.0,-2e-06,4.091903,-0.0,0.0,7.038273,5.155612,0.052175,-0.787361,-0.409123,-0.044067,-8.70665,-6.732009,11.260173,-12.31512,48.351336,33.06958,5.254586,0.079847,-0.279228,3.211769,4.524559,-0.294669,-11.113782,4.481898,-6.150072,-16.418487,-47.489404,-38.744832
0.055272,-0.026103,0.907546,-0.0,0.0,0.560153,-7.165922,5.225604,0.603461,9.996658,-0.217083,-1.768254,6.594199,-0.00836,-2.220237,-2.328071,1e-06,-3e-06,1.536535,0.002529,-0.188575,-18.892039,65.513617,28.855808,25.215938,42.988507,-57.787498,1.589782,0.002706,-0.195141,-20.477054,-70.090691,-28.760427,20.573081,-40.436342,51.065599,4.045242,0.0,1.4e-05,4.045243,-0.0,0.0,6.747575,4.925479,0.063633,-0.46093,-0.246497,-0.025145,-8.665807,-6.624895,11.074604,-12.301745,48.329722,33.036064,5.203866,0.00675,-0.273215,3.200439,4.456584,-0.291741,-11.062924,4.61765,-6.414984,-16.409799,-47.455806,-38.61594
