pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.003226,0.003009,0.713799,-0.0,0.0,0.285099,0.0,0.0,-0.0,-8.762297,-0.304186,-0.039405,9.992702,0.320527,2.611422,-0.0,0.030228,0.246185,11.340988,3.13849,5.914505,-0.0,0.003595,0.20595,-2.507623,-0.0,-1e-06,-0.0,0.030228,0.246185,2.157425,0.004987,-0.264864,0.164369,-0.0,0.0,21.265733,78.181248,-26.035428,0.270874,0.000112,0.000932,0.843349,5.628717,-17.014117,-0.0,0.030228,0.246185,2.207955,0.005222,-0.271031,-0.164369,-0.0,0.0,27.37685,-79.00264,32.92521,-0.271647,0.000112,0.000932,2.086108,-11.662305,19.303207,0.0,-0.0,-0.0,-0.99068,-0.0,-1.2e-05,0.0,-0.0,-0.0,-0.99068,-0.0,0.0,0.096182,-0.0,0.001663,8.105119,3.318888,0.190566,0.017791,-0.0,-0.339467,-6.822349,-4.782625,-0.641799,-3.085489,-0.885243,1.279108,-12.934984,46.852553,40.038432,-0.096182,-0.0,-0.001663,7.135363,-2.297164,-0.231431,-0.01757,0.0,-0.335251,-4.565444,0.550691,0.261277,-3.11664,2.388407,-4.574324,-12.753267,-46.211807,-36.326429
-0.003602,0.00307,0.716314,-0.0,0.0,0.318191,0.0,-0.0,0.0,-8.814769,-0.281554,-0.036604,9.992601,0.320946,2.614763,-0.0,0.030228,0.246185,11.150937,2.857556,5.955446,-0.0,0.003595,0.20595,-2.526285,0.0,-0.0,0.0,0.030228,0.246185,1.997167,0.004275,-0.245213,0.164369,-0.0,0.0,20.735042,78.296931,-25.34382,0.270874,0.000112,0.000932,0.871252,5.73532,-17.234049,0.0,0.030228,0.246185,2.047695,0.004493,-0.25143,-0.164369,0.0,-0.0,26.284013,-78.439026,31.934047,-0.271647,0.000112,0.000932,2.230385,-12.326184,19.475444,0.0,-0.0,0.0,-1.221837,-0.0,4.1e-05,0.0,-0.0,0.0,-1.221802,0.0,0.0,0.096174,-0.0,0.002051,8.154313,3.248463,0.196752,0.017791,0.0,-0.339467,-6.724971,-4.246542,-0.601288,-3.800097,-1.236886,1.864568,-13.736291,47.398033,40.417661,-0.096174,-0.0,-0.002051,6.637168,-2.562185,-0.19987,-0.01757,-0.0,-0.335251,-3.527779,1.08706,0.21831,-3.740848,2.378328,-4.351155,-13.669483,-46.76413,-36.365785
-0.003946,0.003063,0.718012,-0.0,0.0,0.32273,0.0,0.0,-0.0,-8.860967,-0.272919,-0.035594,9.992125,0.33303,2.71327,-0.0,0.030228,0.246185,11.021893,2.642532,5.819823,0.0,0.003595,0.20595,-2.532467,-0.0,1e-06,0.0,0.030228,0.246185,1.880559,0.003789,-0.230897,0.164369,-0.0,-0.0,20.48107,78.347119,-25.015761,0.270874,0.000112,0.000932,0.890132,5.816654,-17.343836,0.0,0.030228,0.246185,1.931089,0.003995,-0.237066,-0.164369,0.0,-0.0,25.70646,-78.082572,31.432438,-0.271647,0.000112,0.000932,2.292815,-12.656878,19.466901,0.0,0.0,0.0,-1.313915,-1e-06,-6.7e-05,0.0,0.0,0.0,-1.31388,-0.0,0.0,0.096171,-0.0,0.002206,8.188801,3.183509,0.202241,0.017791,0.0,-0.339467,-6.72951,-3.855521,-0.578824,-4.114271,-1.463173,2.269494,-14.180601,47.738757,40.797895,-0.096171,0.0,-0.002206,6.369755,-2.714431,-0.183326,-0.01757,-0.0,-0.335251,-2.958451,1.399479,0.191098,-4.156129,2.347684,-4.154407,-14.268717,-47.1161,-36.378971
-0.004318,0.003091,0.718753,-0.0,0.0,0.322704,0.0,0.0,0.0,-8.887433,-0.265922,-0.034744,9.991075,0.353669,2.881645,0.0,0.030228,0.246185,10.954695,2.479249,5.504658,-0.0,0.003595,0.20595,-2.531686,-0.0,-2e-06,-0.0,0.030228,0.246185,1.801279,0.003476,-0.221164,0.164369,-0.0,0.0,20.657636,78.310714,-25.244456,0.270874,0.000112,0.000932,0.894827,5.857449,-17.295548,-0.0,0.030228,0.246185,1.851765,0.003675,-0.227362,-0.164369,0.0,0.0,25.509443,-77.947963,31.266605,-0.271647,0.000112,0.000932,2.272611,-12.640409,19.310282,0.0,0.0,-0.0,-1.291401,-0.0,-1e-06,0.0,0.0,-0.0,-1.291401,-0.0,0.0,0.096172,-0.0,0.002168,8.18777,3.11449,0.207159,0.017791,0.0,-0.339467,-6.813313,-3.628,-0.572576,-4.00664,-1.540978,2.466264,-14.171948,47.807393,41.077434,-0.096172,0.0,-0.002168,6.319011,-2.762447,-0.179212,-0.01757,-0.0,-0.335251,-2.842748,1.492457,0.18592,-4.351504,2.309803,-4.012979,-14.547849,-47.285482,-36.408395
-0.004807,0.003238,0.718921,-0.0,0.0,0.331186,0.0,-0.0,-0.0,-8.886407,-0.237195,-0.030988,9.990246,0.371355,3.025882,0.0,0.030228,0.246185,10.897689,2.306013,5.132141,-0.0,0.003595,0.20595,-2.521461,-0.0,2e-06,-0.0,0.030228,0.246185,1.73444,0.003222,-0.212984,0.164369,0.0,-0.0,21.158683,78.219552,-25.889105,0.270874,0.000112,0.000932,0.883017,5.834807,-17.124614,-0.0,0.030228,0.246185,1.784969,0.003414,-0.219161,-0.164369,0.0,-0.0,25.357991,-77.921598,31.098142,-0.271647,0.000112,0.000932,2.233232,-12.499832,19.192657,0.0,-0.0,-0.0,-1.256282,-0.0,2.3e-05,0.0,-0.0,-0.0,-1.256246,-0.0,0.0,0.096173,-0.0,0.002109,8.148362,3.038156,0.2116,0.017791,0.0,-0.339467,-6.876164,-3.506029,-0.57058,-3.729553,-1.540876,2.542564,-13.95834,47.727303,41.204059,-0.096173,0.0,-0.002109,6.319797,-2.78309,-0.178094,-0.01757,0.0,-0.335251,-2.854015,1.508519,0.187055,-4.465821,2.281109,-3.91688,-14.706256,-47.399047,-36.486881
-0.005431,0.00341,0.718889,-0.0,0.0,0.301511,-0.0,0.0,0.0,-8.866556,-0.18465,-0.024091,9.989666,0.381997,3.112761,-0.0,0.030228,0.246185,10.809297,2.104426,4.806955,0.0,0.003595,0.20595,-2.485847,0.0,2e-06,-0.0,0.030228,0.246185,1.683278,0.003036,-0.206644,0.164369,0.0,-0.0,21.716409,78.127959,-26.603886,0.270874,0.000112,0.000932,0.85468,5.722788,-16.916936,-0.0,0.030228,0.246185,1.733764,0.003221,-0.212871,-0.164369,0.0,-0.0,25.174003,-77.938735,30.867537,-0.271647,0.000112,0.000932,2.211853,-12.383533,19.198234,0.0,0.0,0.0,-1.23732,-0.0,1.9e-05,0.0,0.0,0.0,-1.237284,-0.0,0.0,0.096174,-0.0,0.002077,8.094299,2.968124,0.21515,0.017791,0.0,-0.339467,-6.860935,-3.457594,-0.566424,-3.473062,-1.53727,2.606262,-13.814871,47.660278,41.238766,-0.096174,-0.0,-0.002077,6.277385,-2.816898,-0.175041,-0.01757,0.0,-0.335251,-2.796465,1.532241,0.183859,-4.585446,2.249798,-3.814069,-14.851338,-47.501729,-36.556142
-0.006127,0.00348,0.71884,-0.0,0.0,0.1974,0.0,-0.0,0.0,-8.84699,-0.130771,-0.017039,9.989152,0.391033,3.186401,0.0,0.030228,0.246185,10.705079,1.923916,4.575636,0.0,0.003595,0.20595,-2.422873,-0.0,2e-06,-0.0,0.030228,0.246185,1.661936,0.002959,-0.203984,0.164369,0.0,-0.0,22.139638,78.069376,-27.142137,0.270874,0.000112,0.000932,0.815998,5.535015,-16.748211,-0.0,0.030228,0.246185,1.712506,0.00314,-0.210224,-0.164369,0.0,-0.0,25.109442,-78.003834,30.756052,-0.271647,0.000112,0.000932,2.198709,-12.282004,19.255526,0.0,0.0,0.0,-1.205432,-0.0,-3.8e-05,0.0,0.0,0.0,-1.205432,-0.0,0.0,0.096175,-0.0,0.002024,8.044603,2.913782,0.217648,0.017791,-0.0,-0.339467,-6.77931,-3.469881,-0.560394,-3.251013,-1.545758,2.687344,-13.823488,47.675328,41.278248,-0.096175,0.0,-0.002024,6.212116,-2.860535,-0.170849,-0.01757,0.0,-0.335251,-2.699876,1.562053,0.178206,-4.676542,2.201893,-3.685191,-14.97152,-47.570225,-36.556887
-0.006828,0.003452,0.718885,-0.0,0.0,0.055573,0.0,0.0,0.0,-8.844209,-0.098877,-0.012881,9.988454,0.403322,3.286722,0.0,0.030228,0.246185,10.639556,1.819248,4.451717,0.0,0.003595,0.20595,-2.361944,-0.0,0.0,0.0,0.030228,0.246185,1.664226,0.002967,-0.204365,0.164369,-0.0,-0.0,22.398395,78.036148,-27.470281,0.270874,0.000112,0.000932,0.779043,5.339057,-16.638565,-0.0,0.030228,0.246185,1.714755,0.00315,-0.210553,-0.164369,0.0,0.0,25.225465,-78.104183,30.843502,-0.271647,0.000112,0.000932,2.176644,-12.162319,19.261468,0.0,0.0,0.0,-1.157033,-0.0,4.7e-05,0.0,0.0,0.0,-1.157069,-0.0,0.0,0.096176,-0.0,0.001942,7.998185,2.869371,0.219495,0.017791,0.0,-0.339467,-6.669839,-3.50712,-0.553482,-3.032372,-1.545529,2.748967,-13.914554,47.745358,41.36061,-0.096176,-0.0,-0.001942,6.159621,-2.916415,-0.166394,-0.01757,-0.0,-0.335251,-2.624426,1.596793,0.174016,-4.690243,2.148187,-3.567467,-15.065857,-47.612631,-36.517938
-0.007507,0.003425,0.719084,-0.0,0.0,-0.062514,-0.0,-0.0,-0.0,-8.861133,-0.093277,-0.012165,9.987616,0.418364,3.409364,0.0,0.030228,0.246185,10.643387,1.784831,4.413299,0.0,0.003595,0.20595,-2.331168,0.0,1e-06,0.0,0.030228,0.246185,1.672336,0.002997,-0.205326,0.164369,0.0,-0.0,22.564966,77.995221,-27.690927,0.270874,0.000112,0.000932,0.754551,5.212736,-16.54654,-0.0,0.030228,0.246185,1.722824,0.003179,-0.211485,-0.164369,-0.0,0.0,25.444929,-78.197074,31.05841,-0.271647,0.000112,0.000932,2.140385,-12.030803,19.151546,0.0,0.0,0.0,-1.115169,-0.0,-3.7e-05,0.0,0.0,0.0,-1.115204,0.0,0.0,0.096178,-0.0,0.001872,7.950071,2.828393,0.221018,0.017791,0.0,-0.339467,-6.565157,-3.53173,-0.546181,-2.836705,-1.529739,2.770061,-14.002728,47.819657,41.466283,-0.096178,0.0,-0.001872,6.115021,-2.999565,-0.160743,-0.01757,-0.0,-0.335251,-2.55822,1.65789,0.170983,-4.647408,2.107898,-3.494827,-15.170275,-47.667976,-36.504451
-0.008185,0.003496,0.719372,-0.0,0.0,-0.146398,-0.0,0.0,0.0,-8.883406,-0.101547,-0.013264,9.98668,0.433815,3.535521,-0.0,0.030228,0.246185,10.690372,1.767107,4.418195,-0.0,0.003595,0.20595,-2.322682,0.0,2e-06,0.0,0.030228,0.246185,1.677535,0.003017,-0.205992,0.164369,-0.0,0.0,22.748099,77.922357,-27.94686,0.270874,0.000112,0.000932,0.745315,5.187732,-16.419727,-0.0,0.030228,0.246185,1.728107,0.003201,-0.212179,-0.164369,-0.0,-0.0,25.756362,-78.266619,31.395108,-0.271647,0.000112,0.000932,2.086734,-11.881257,18.901387,0.0,0.0,0.0,-1.08939,0.0,-4.5e-05,0.0,0.0,0.0,-1.089426,0.0,0.0,0.096179,-0.0,0.001829,7.899692,2.790341,0.222243,0.017791,0.0,-0.339467,-6.475479,-3.536211,-0.538956,-2.694449,-1.515819,2.78007,-14.063882,47.879462,41.57211,-0.096179,-0.0,-0.001829,6.054172,-3.109908,-0.1533,-0.01757,0.0,-0.335251,-2.467279,1.747392,0.166823,-4.604432,2.08328,-3.455317,-15.302709,-47.750365,-36.531147
