pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
0.015142,0.055338,0.722766,-0.0,0.0,3.482906,-0.0,-0.0,0.0,-5.789949,3.889367,0.401735,9.998813,0.130841,1.065845,-0.0,0.032884,0.267822,13.553631,-2.177994,3.213887,0.0,0.003432,0.196637,0.000229,0.0,-1e-06,0.0,0.032884,0.267822,2.40087,0.006175,-0.294753,0.165374,0.0,-0.0,20.278318,72.471073,-27.417918,0.288452,0.000115,0.000952,1.545446,8.340551,-20.537096,-0.0,0.032884,0.267822,2.452125,0.006441,-0.301033,-0.165374,0.0,0.0,43.083303,-81.444419,49.272817,-0.290405,0.000115,0.000952,2.542983,-12.928362,21.216116,0.0,-0.0,0.0,2.783727,0.0,1.5e-05,0.0,-0.0,0.0,2.783727,0.0,0.0,0.102055,-0.0,-0.004962,5.169639,9.178055,-0.144719,0.018502,-0.0,-0.353038,6.118254,2.101545,0.208825,-9.563149,-7.516652,12.3497,-13.95644,48.013402,35.397616,-0.102055,-0.0,0.004962,6.608375,4.94543,-0.630972,-0.018712,0.0,-0.357043,6.68946,2.607073,-0.502768,-8.068052,7.48156,-12.981693,-30.665121,-54.170196,-50.460034
0.015583,0.052866,0.722183,-0.0,0.0,4.58628,-0.0,0.0,0.0,-6.132357,4.103649,0.436288,9.999186,0.096879,0.788499,-0.0,0.032884,0.267822,13.897549,-2.906655,2.225464,-0.0,0.003432,0.196637,-0.100943,-0.0,1e-06,-0.0,0.032884,0.267822,1.879518,0.003786,-0.230798,0.165374,0.0,-0.0,21.399519,73.709168,-28.288922,0.288452,0.000115,0.000952,1.53199,8.129854,-20.957764,-0.0,0.032884,0.267822,1.930814,0.003995,-0.237085,-0.165374,-0.0,-0.0,40.449043,-81.325437,46.43125,-0.290405,0.000115,0.000952,2.401409,-12.741581,20.285254,0.0,-0.0,-0.0,3.286157,-1e-06,2e-05,0.0,-0.0,-0.0,3.286158,0.0,-0.0,0.102008,-0.0,-0.005857,6.194463,9.348161,-0.182779,0.018502,-0.0,-0.353038,4.299649,1.769609,0.159134,-8.610012,-6.983693,11.780989,-13.17013,47.555469,35.349671,-0.102008,-0.0,0.005857,7.389471,4.626052,-0.685234,-0.018712,-0.0,-0.357043,5.955913,2.415798,-0.437625,-7.655184,8.305785,-14.767012,-30.854983,-54.262195,-50.806615
0.016144,0.05109,0.721818,-0.0,0.0,5.371377,0.0,-0.0,0.0,-6.368742,4.26585,0.462453,9.999363,0.092381,0.752195,-0.0,0.032884,0.267822,13.998312,-3.40477,1.546862,0.0,0.003432,0.196637,-0.089036,0.0,2e-06,-0.0,0.032884,0.267822,1.459621,0.002282,-0.179161,0.165374,0.0,-0.0,22.680427,74.625568,-29.479325,0.288452,0.000115,0.000952,1.515106,7.971134,-21.189079,-0.0,0.032884,0.267822,1.510875,0.002446,-0.185479,-0.165374,0.0,0.0,38.253875,-81.160235,44.091849,-0.290405,0.000115,0.000952,2.291106,-12.587841,19.552043,0.0,-0.0,0.0,3.597056,-2e-06,5e-05,0.0,-0.0,0.0,3.597024,-0.0,0.0,0.101974,-0.0,-0.00641,6.893065,9.448314,-0.209547,0.018502,-0.0,-0.353038,3.0536,1.62369,0.116877,-7.964519,-6.641651,11.416168,-12.612983,47.205859,35.258485,-0.101974,-0.0,0.00641,7.954408,4.406585,-0.722605,-0.018712,0.0,-0.357043,5.404161,2.272011,-0.390265,-7.397548,8.924434,-16.092013,-31.22382,-54.410551,-51.139047
0.016898,0.050113,0.721648,-0.0,0.0,5.794825,-0.0,0.0,0.0,-6.500173,4.356449,0.477344,9.999054,0.109803,0.893935,0.0,0.032884,0.267822,13.854316,-3.596001,1.245934,-0.0,0.003432,0.196637,0.05401,-0.0,1e-06,0.0,0.032884,0.267822,1.214901,0.001583,-0.149196,0.165374,0.0,0.0,23.732901,75.112068,-30.563884,0.288452,0.000115,0.000952,1.505215,7.899629,-21.262078,0.0,0.032884,0.267822,1.266239,0.001719,-0.155488,-0.165374,0.0,-0.0,36.771737,-80.930037,42.581455,-0.290405,0.000115,0.000952,2.222293,-12.547702,18.986807,0.0,-0.0,0.0,3.707614,2e-06,-5.2e-05,0.0,-0.0,0.0,3.707647,-0.0,0.0,0.101962,0.0,-0.006607,7.226543,9.535941,-0.225316,0.018502,-0.0,-0.353038,2.489228,1.552755,0.096807,-7.690338,-6.49396,11.252819,-12.404721,47.054894,35.171533,-0.101962,0.0,0.006607,8.278026,4.33474,-0.746932,-0.018712,-0.0,-0.357043,5.063232,2.154206,-0.360426,-7.328772,9.320836,-16.891282,-31.764099,-54.610689,-51.452997
0.017767,0.049535,0.721512,-0.0,0.0,6.002097,0.0,-0.0,0.0,-6.609833,4.414153,0.487949,9.998942,0.119087,0.969596,0.0,0.032884,0.267822,13.656568,-3.555313,1.196854,0.0,0.003432,0.196637,0.257116,-0.0,-3e-06,0.0,0.032884,0.267822,1.149204,0.001416,-0.141094,0.165374,0.0,0.0,23.970549,75.278199,-30.776324,0.288452,0.000115,0.000952,1.516779,7.932755,-21.33314,0.0,0.032884,0.267822,1.200459,0.001544,-0.147389,-0.165374,0.0,-0.0,36.127336,-80.639474,42.048523,-0.290405,0.000115,0.000952,2.187151,-12.689261,18.42227,0.0,-0.0,0.0,3.724865,-2e-06,4.7e-05,0.0,-0.0,0.0,3.72483,-0.0,-1e-06,0.10196,-0.0,-0.006638,7.387068,9.664778,-0.238761,0.018502,-0.0,-0.353038,2.276687,1.417895,0.091214,-7.605474,-6.437054,11.180008,-12.431422,47.061065,35.145746,-0.10196,-0.0,0.006638,8.471632,4.363571,-0.766587,-0.018712,0.0,-0.357043,4.836301,2.046971,-0.339743,-7.338809,9.575951,-17.374693,-32.314031,-54.810813,-51.773189
0.01858,0.049048,0.72135,-0.0,0.0,6.127215,-0.0,0.0,0.0,-6.753564,4.48113,0.501053,9.999061,0.108369,0.882102,0.0,0.032884,0.267822,13.549856,-3.398864,1.246252,-0.0,0.003432,0.196637,0.446243,-0.0,-1e-06,0.0,0.032884,0.267822,1.192427,0.001524,-0.146439,0.165374,0.0,0.0,23.47333,75.30401,-30.137195,0.288452,0.000115,0.000952,1.541009,8.012828,-21.446705,0.0,0.032884,0.267822,1.243684,0.001658,-0.152723,-0.165374,-0.0,-0.0,36.137138,-80.343467,42.259784,-0.290405,0.000115,0.000952,2.169544,-12.958348,17.824676,0.0,0.0,0.0,3.732433,-2e-06,5.7e-05,0.0,0.0,0.0,3.732466,-0.0,0.0,0.101959,-0.0,-0.006651,7.532476,9.814744,-0.253479,0.018502,-0.0,-0.353038,2.116932,1.230613,0.088269,-7.551603,-6.397366,11.126692,-12.492322,47.09911,35.153723,-0.101959,-0.0,0.006651,8.620716,4.42716,-0.784897,-0.018712,-0.0,-0.357043,4.652801,1.952196,-0.323004,-7.343747,9.749069,-17.703205,-32.767515,-54.976964,-52.094471
0.019254,0.048737,0.721194,-0.0,0.0,6.206844,0.0,-0.0,-0.0,-6.89803,4.556746,0.515337,9.999296,0.094561,0.769764,0.0,0.032884,0.267821,13.481432,-3.209463,1.38269,0.0,0.003432,0.196637,0.618118,0.0,4e-06,0.0,0.032884,0.267822,1.249765,0.001672,-0.153421,0.165374,0.0,-0.0,22.975744,75.315089,-29.504904,0.288452,0.000115,0.000952,1.555427,8.056189,-21.526371,0.0,0.032884,0.267822,1.301061,0.001813,-0.159729,-0.165374,0.0,-0.0,36.291018,-80.105982,42.596697,-0.290405,0.000115,0.000952,2.163573,-13.237268,17.339064,0.0,0.0,-0.0,3.746668,2e-06,-6.7e-05,0.0,0.0,-0.0,3.746636,-0.0,0.0,0.101957,0.0,-0.006677,7.669119,9.93518,-0.266274,0.018502,-0.0,-0.353038,1.951299,1.098687,0.083604,-7.492134,-6.37195,11.103551,-12.50165,47.105868,35.15762,-0.101957,0.0,0.006677,8.7213,4.490796,-0.798915,-0.018712,-0.0,-0.357043,4.515482,1.885105,-0.310829,-7.350648,9.855969,-17.903567,-33.129057,-55.107602,-52.353479
0.019829,0.048782,0.72103,-0.0,0.0,6.253892,0.0,0.0,0.0,-6.980227,4.617378,0.525558,9.999319,0.095853,0.780575,-0.0,0.032884,0.267822,13.327991,-3.036253,1.658137,-0.0,0.003432,0.196637,0.806996,-0.0,-2e-06,-0.0,0.032884,0.267822,1.261762,0.001706,-0.154873,0.165374,0.0,-0.0,23.045277,75.363993,-29.567817,0.288452,0.000115,0.000952,1.551371,8.036274,-21.528029,-0.0,0.032884,0.267822,1.313016,0.001847,-0.161194,-0.165374,0.0,0.0,36.082342,-79.934537,42.474679,-0.290405,0.000115,0.000952,2.176268,-13.483343,17.082486,0.0,0.0,0.0,3.765727,3e-06,-8.9e-05,0.0,0.0,0.0,3.765693,-0.0,-0.0,0.101955,0.0,-0.006711,7.759179,10.011816,-0.274681,0.018502,-0.0,-0.353038,1.803927,1.069938,0.077741,-7.423294,-6.36607,11.122622,-12.530168,47.139012,35.204438,-0.101955,-0.0,0.00671,8.758678,4.535612,-0.805767,-0.018712,0.0,-0.357043,4.427356,1.872667,-0.304276,-7.362095,9.908974,-17.998179,-33.436665,-55.213934,-52.518383
0.020344,0.049102,0.720795,-0.0,0.0,6.310348,0.0,-0.0,0.0,-6.99539,4.658182,0.530832,9.999198,0.110811,0.902786,-0.0,0.032884,0.267822,13.092625,-2.907039,1.99238,0.0,0.003432,0.196637,1.000275,-0.0,5e-06,-0.0,0.032884,0.267822,1.221435,0.001599,-0.149924,0.165374,0.0,-0.0,23.613714,75.446317,-30.24041,0.288452,0.000115,0.000952,1.541387,8.005069,-21.476485,-0.0,0.032884,0.267822,1.27273,0.001736,-0.156231,-0.165374,0.0,-0.0,35.382613,-79.787797,41.770896,-0.290405,0.000115,0.000952,2.208839,-13.724364,17.01094,0.0,0.0,0.0,3.798287,-0.0,-2e-06,0.0,0.0,0.0,3.798287,-0.0,0.0,0.101951,0.0,-0.006769,7.820405,10.064545,-0.280513,0.018502,0.0,-0.353038,1.648251,1.095576,0.070662,-7.326157,-6.358095,11.150186,-12.663698,47.271534,35.361966,-0.101951,0.0,0.006768,8.773077,4.542067,-0.807588,-0.018712,0.0,-0.357043,4.345637,1.937208,-0.301092,-7.321681,9.927646,-18.057405,-33.705501,-55.305367,-52.651579
0.020777,0.049431,0.720516,-0.0,0.0,6.399288,0.0,0.0,-0.0,-6.993942,4.692297,0.534663,9.998808,0.128921,1.050069,-0.0,0.032884,0.267822,12.882423,-2.828831,2.211148,-0.0,0.003432,0.196637,1.129291,0.0,1e-06,-0.0,0.032884,0.267822,1.146377,0.00141,-0.140797,0.165374,0.0,-0.0,24.227145,75.531879,-30.964946,0.288452,0.000115,0.000952,1.549049,8.069692,-21.390786,-0.0,0.032884,0.267822,1.197718,0.001538,-0.147061,-0.165374,-0.0,-0.0,34.424587,-79.647451,40.76094,-0.290405,0.000115,0.000952,2.246645,-13.945654,17.013257,0.0,0.0,-0.0,3.843877,-0.0,-1.2e-05,0.0,0.0,-0.0,3.843843,-0.0,0.0,0.101946,-0.0,-0.00685,7.890293,10.108839,-0.286125,0.018502,-0.0,-0.353038,1.465743,1.115289,0.062586,-7.208868,-6.332037,11.151404,-12.875824,47.477987,35.606732,-0.101946,-0.0,0.00685,8.820366,4.504519,-0.809078,-0.018712,-0.0,-0.357043,4.221246,2.072714,-0.297441,-7.193128,9.925273,-18.128048,-33.924648,-55.383163,-52.82498
