pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
0.024878,0.023135,0.733992,-0.0,0.0,6.359567,-0.0,0.0,-0.0,-9.518074,1.883429,0.256649,9.998957,0.117946,0.960525,0.0,0.032712,0.266416,18.707938,0.141161,3.046992,-0.0,0.003416,0.19569,0.187743,-1e-06,-2e-06,0.0,0.032712,0.266416,1.010829,0.001094,-0.124087,0.164812,-0.0,0.0,25.497149,76.233121,-32.16888,0.287612,0.000114,0.000949,1.101693,6.332663,-19.710695,0.0,0.032712,0.266416,1.062094,0.001208,-0.130412,-0.164812,-0.0,-0.0,29.042203,-77.878882,35.544093,-0.288452,0.000114,0.000949,1.243308,-8.414998,15.997884,-0.0,-0.0,0.0,0.034678,-0.0,8.5e-05,-0.0,-0.0,0.0,0.034678,-0.0,0.0,0.102418,0.0,-6.2e-05,1.850212,4.526891,0.023888,0.01853,-0.0,-0.353581,0.448927,-0.636418,0.026012,-3.988794,-4.554155,8.918285,-3.843442,46.27292,37.842629,-0.102419,-0.0,6.2e-05,2.438411,-0.216354,-0.123219,-0.018405,-0.0,-0.351187,4.631401,1.064184,-0.28575,-10.597124,7.704976,-12.228048,-23.769688,-51.584468,-46.128956
0.026637,0.022454,0.729081,-0.0,0.0,6.712951,-0.0,-0.0,0.0,-9.494141,1.801149,0.245053,9.9998,0.051443,0.419017,0.0,0.032712,0.266416,18.747558,-0.060247,2.3695,-0.0,0.003416,0.19569,-0.038806,1e-06,1e-06,0.0,0.032712,0.266416,1.000925,0.001073,-0.122928,0.164812,-0.0,-0.0,25.79499,76.609656,-32.330523,0.287612,0.000114,0.000949,1.023067,5.927973,-19.690826,0.0,0.032712,0.266416,1.052189,0.001186,-0.129216,-0.164812,-0.0,-0.0,27.073328,-77.884176,33.181161,-0.288452,0.000114,0.000949,1.406285,-8.913475,17.123394,-0.0,-0.0,0.0,0.717326,-0.0,2e-05,-0.0,-0.0,0.0,0.717359,-0.0,0.0,0.10241,0.0,-0.001282,2.043276,4.813734,0.02125,0.01853,0.0,-0.353581,0.102772,-1.031003,0.006306,-3.45435,-4.143343,8.260815,-4.36915,45.922159,36.603841,-0.102411,0.0,0.001282,2.996901,-0.092805,-0.154676,-0.018405,0.0,-0.351187,4.094178,0.632892,-0.237208,-9.936703,7.997698,-13.065921,-27.600007,-53.457565,-49.571563
0.027962,0.02185,0.725926,-0.0,0.0,6.969346,0.0,-0.0,0.0,-9.487656,1.730186,0.235296,10.00005,0.001411,0.011585,0.0,0.032712,0.266416,18.774119,-0.153873,1.853199,-0.0,0.003416,0.19569,-0.180793,0.0,-1e-06,0.0,0.032712,0.266416,0.982977,0.001036,-0.120622,0.164812,-0.0,0.0,25.841164,76.874968,-32.242673,0.287612,0.000114,0.000949,0.980037,5.681666,-19.782555,0.0,0.032712,0.266416,1.034282,0.001145,-0.126957,-0.164812,-0.0,0.0,25.763221,-77.853809,31.621713,-0.288452,0.000114,0.000949,1.522787,-9.281437,17.81945,0.0,-0.0,0.0,1.103872,-0.0,2.9e-05,0.0,-0.0,0.0,1.103871,-0.0,0.0,0.1024,-0.0,-0.001973,2.210301,5.064829,0.018126,0.01853,0.0,-0.353581,-0.187109,-1.379909,-0.012054,-3.00526,-3.845597,7.797293,-4.782577,45.673147,35.677619,-0.1024,0.0,0.001973,3.417298,-0.014244,-0.178722,-0.018405,-0.0,-0.351187,3.675578,0.351294,-0.203933,-9.571403,8.1814,-13.578034,-30.713523,-54.756476,-52.277588
0.028745,0.021389,0.724697,-0.0,0.0,7.092333,-0.0,-0.0,-0.0,-9.496208,1.672561,0.227586,9.999938,-0.027062,-0.220449,-0.0,0.032712,0.266416,18.788969,-0.137506,1.536661,0.0,0.003416,0.195689,-0.221773,0.0,-1e-06,-0.0,0.032712,0.266416,0.952952,0.000972,-0.117033,0.164812,0.0,-0.0,25.647398,77.021721,-31.926674,0.287612,0.000114,0.000949,0.971567,5.592972,-19.974226,-0.0,0.032712,0.266416,1.004299,0.001081,-0.123335,-0.164812,-0.0,0.0,25.182247,-77.802569,30.948137,-0.288452,0.000114,0.000949,1.57878,-9.483041,18.077383,-0.0,-0.0,-0.0,1.18845,-0.0,2.2e-05,-0.0,-0.0,-0.0,1.188416,0.0,-0.0,0.102396,-0.0,-0.002124,2.339173,5.264349,0.015093,0.01853,0.0,-0.353581,-0.414462,-1.670425,-0.027743,-2.667303,-3.678797,7.567005,-4.97984,45.564827,35.254359,-0.102397,0.0,0.002124,3.653714,0.019228,-0.192159,-0.018405,0.0,-0.351187,3.422217,0.216484,-0.185853,-9.517003,8.253103,-13.73696,-32.405167,-55.385215,-53.645043
0.02916,0.021099,0.724322,-0.0,0.0,7.12128,-0.0,0.0,0.0,-9.505987,1.62813,0.22168,9.999799,-0.04041,-0.329197,0.0,0.032712,0.266416,18.803265,-0.085925,1.357954,-0.0,0.003416,0.19569,-0.213734,-1e-06,-3e-06,0.0,0.032712,0.266416,0.91454,0.000896,-0.112344,0.164812,-0.0,0.0,25.434518,77.111265,-31.618995,0.287612,0.000114,0.000949,0.972911,5.556427,-20.163477,0.0,0.032712,0.266416,0.965846,0.000999,-0.118633,-0.164812,-0.0,0.0,24.943238,-77.750127,30.686776,-0.288452,0.000114,0.000949,1.605229,-9.586206,18.177568,-0.0,0.0,0.0,1.165971,-0.0,-3.8e-05,-0.0,0.0,0.0,1.165937,0.0,0.0,0.102397,0.0,-0.002084,2.436653,5.416305,0.012477,0.01853,-0.0,-0.353581,-0.613481,-1.914699,-0.042365,-2.401514,-3.584523,7.46458,-5.014257,45.554964,35.197348,-0.102397,0.0,0.002084,3.768584,0.039311,-0.198863,-0.018405,0.0,-0.351187,3.28342,0.11573,-0.175431,-9.570045,8.27676,-13.755045,-32.995992,-55.588891,-54.037305
0.02939,0.02094,0.723939,-0.0,0.0,7.126363,0.0,0.0,0.0,-9.510687,1.598548,0.217718,9.999867,-0.047831,-0.389548,-0.0,0.032712,0.266416,18.825622,-0.056419,1.236831,0.0,0.003416,0.19569,-0.2075,-0.0,1e-06,0.0,0.032712,0.266416,0.875712,0.000822,-0.107552,0.164812,0.0,-0.0,25.338952,77.18361,-31.463953,0.287612,0.000114,0.000949,0.968711,5.509021,-20.278526,0.0,0.032712,0.266416,0.927018,0.00092,-0.113814,-0.164812,0.0,-0.0,24.756555,-77.707759,30.483008,-0.288452,0.000114,0.000949,1.6267,-9.652884,18.294742,0.0,0.0,0.0,1.169073,-0.0,-3.7e-05,0.0,0.0,0.0,1.169105,-0.0,-1e-06,0.102397,0.0,-0.00209,2.50674,5.525887,0.010427,0.01853,-0.0,-0.353581,-0.787745,-2.116155,-0.05578,-2.182663,-3.507102,7.37953,-4.989411,45.578539,35.269379,-0.102397,0.0,0.00209,3.839521,0.069877,-0.203631,-0.018405,-0.0,-0.351187,3.194616,-0.018361,-0.166954,-9.570435,8.304542,-13.806223,-33.120595,-55.627598,-54.064943
0.029522,0.020826,0.723476,-0.0,0.0,7.143979,-0.0,-0.0,0.0,-9.515531,1.581707,0.215494,9.999764,-0.053495,-0.43575,-0.0,0.032712,0.266416,18.857017,-0.0475,1.143888,0.0,0.003416,0.19569,-0.214114,-1e-06,0.0,-0.0,0.032712,0.266416,0.840505,0.000757,-0.103197,0.164812,0.0,-0.0,25.33361,77.237487,-31.428965,0.287612,0.000114,0.000949,0.962229,5.464513,-20.330845,0.0,0.032712,0.266416,0.891852,0.000851,-0.10952,-0.164812,-0.0,-0.0,24.59206,-77.675841,30.300239,-0.288452,0.000114,0.000949,1.642788,-9.695018,18.398503,-0.0,-0.0,0.0,1.191185,-0.0,-1.2e-05,-0.0,-0.0,0.0,1.191218,-0.0,0.0,0.102396,0.0,-0.002129,2.545082,5.595851,0.009025,0.01853,0.0,-0.353581,-0.901628,-2.26658,-0.065023,-2.025548,-3.434289,7.279353,-4.947069,45.589945,35.338063,-0.102396,0.0,0.002129,3.896628,0.105214,-0.207861,-0.018405,-0.0,-0.351187,3.135556,-0.153238,-0.160185,-9.521529,8.340006,-13.89558,-33.136584,-55.630617,-54.039593
0.029588,0.020701,0.723122,-0.0,0.0,7.168679,-0.0,-0.0,0.0,-9.52553,1.570892,0.214159,9.999756,-0.057446,-0.467896,0.0,0.032712,0.266416,18.891286,-0.034998,1.085895,0.0,0.003416,0.19569,-0.221227,0.0,-3e-06,0.0,0.032712,0.266416,0.807649,0.0007,-0.099242,0.164812,-0.0,-0.0,25.355289,77.268236,-31.438982,0.287612,0.000114,0.000949,0.959926,5.446044,-20.361576,0.0,0.032712,0.266416,0.858914,0.000789,-0.105504,-0.164812,-0.0,-0.0,24.486114,-77.650713,30.184805,-0.288452,0.000114,0.000949,1.647764,-9.706473,18.434033,-0.0,0.0,0.0,1.203258,-0.0,-1.8e-05,-0.0,0.0,0.0,1.203291,0.0,-1e-06,0.102396,0.0,-0.002151,2.551647,5.633399,0.008208,0.01853,0.0,-0.353581,-0.93297,-2.367941,-0.068104,-1.924517,-3.369383,7.174033,-4.868124,45.56313,35.375793,-0.102396,-0.0,0.002151,3.937065,0.125713,-0.210722,-0.018405,0.0,-0.351187,3.111028,-0.23438,-0.156735,-9.474034,8.368859,-13.972153,-33.156853,-55.637208,-54.04826
0.029606,0.020577,0.722856,-0.0,0.0,7.192853,-0.0,-0.0,-0.0,-9.536634,1.562537,0.213172,9.99979,-0.060145,-0.489722,-0.0,0.032712,0.266416,18.919776,-0.01401,1.054874,0.0,0.003416,0.19569,-0.219633,-0.0,-0.0,0.0,0.032712,0.266416,0.774787,0.000642,-0.095097,0.164812,0.0,-0.0,25.387277,77.28469,-31.469243,0.287612,0.000114,0.000949,0.961479,5.448258,-20.38724,0.0,0.032712,0.266416,0.826092,0.000731,-0.101401,-0.164812,-0.0,-0.0,24.419033,-77.630994,30.113502,-0.288452,0.000114,0.000949,1.645137,-9.692878,18.431885,-0.0,-0.0,-0.0,1.223369,-1e-06,5e-05,-0.0,-0.0,-0.0,1.223402,-0.0,0.0,0.102395,-0.0,-0.002187,2.536799,5.648756,0.007816,0.01853,0.0,-0.353581,-0.902787,-2.434965,-0.066426,-1.811668,-3.299668,7.061953,-4.747445,45.494411,35.381661,-0.102395,0.0,0.002187,3.960302,0.124167,-0.211914,-0.018405,0.0,-0.351187,3.112864,-0.258695,-0.156168,-9.419682,8.392319,-14.04223,-33.212553,-55.65804,-54.114189
0.029589,0.020495,0.722565,-0.0,0.0,7.223553,0.0,0.0,-0.0,-9.542289,1.558442,0.212694,9.999706,-0.063155,-0.51432,-0.0,0.032712,0.266416,18.937558,0.00301,1.023126,-0.0,0.003416,0.19569,-0.211252,-0.0,-2e-06,-0.0,0.032712,0.266416,0.740734,0.000588,-0.091007,0.164812,0.0,-0.0,25.432604,77.296657,-31.517891,0.287612,0.000114,0.000949,0.964069,5.456617,-20.408491,-0.0,0.032712,0.266416,0.792081,0.000672,-0.09731,-0.164812,-0.0,-0.0,24.352679,-77.613304,30.042167,-0.288452,0.000114,0.000949,1.642685,-9.671479,18.44943,0.0,-0.0,-0.0,1.27073,0.0,-3.9e-05,0.0,-0.0,-0.0,1.270696,-0.0,0.0,0.102393,0.0,-0.002271,2.514804,5.649494,0.007735,0.01853,0.0,-0.353581,-0.853825,-2.478301,-0.063146,-1.61983,-3.210846,6.936856,-4.637589,45.413457,35.353049,-0.102393,-0.0,0.002271,3.975871,0.110752,-0.212284,-0.018405,0.0,-0.351187,3.118437,-0.259939,-0.156413,-9.335941,8.418702,-14.132334,-33.303101,-55.691665,-54.219773
