pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xposition,spine_Yposition,spine_Zposition,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xposition,neck_Yposition,neck_Zposition,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xposition,face_Yposition,face_Zposition,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Xposition,shoulder.L_Yposition,shoulder.L_Zposition,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xposition,upper_arm.L_Yposition,upper_arm.L_Zposition,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xposition,forearm.L_Yposition,forearm.L_Zposition,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Xposition,shoulder.R_Yposition,shoulder.R_Zposition,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xposition,upper_arm.R_Yposition,upper_arm.R_Zposition,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xposition,forearm.R_Yposition,forearm.R_Zposition,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Xposition,pelvis.L_Yposition,pelvis.L_Zposition,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Xposition,pelvis.R_Yposition,pelvis.R_Zposition,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xposition,thigh.L_Yposition,thigh.L_Zposition,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xposition,shin.L_Yposition,shin.L_Zposition,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xposition,thigh.R_Yposition,thigh.R_Zposition,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xposition,shin.R_Yposition,shin.R_Zposition,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.015828,-0.018675,0.726812,-0.0,0.0,0.918637,0.0,0.0,0.0,-5.04594,-1.20002,-0.116039,9.999715,0.06165,0.502155,0.0,0.032919,0.268106,15.088328,-4.646909,1.407109,-0.0,0.00301,0.172417,0.900363,-1e-06,-2e-06,0.0,0.032919,0.268106,0.312141,0.000105,-0.038338,0.164675,0.0,0.0,9.717007,77.200426,-12.183843,0.275807,0.000113,0.000937,0.996407,4.89546,-24.481922,0.0,0.032919,0.268106,0.362784,0.000142,-0.044566,-0.164676,0.0,-0.0,3.932347,-77.755802,4.915813,-0.275851,0.000113,0.000937,2.079474,-9.251323,24.994924,0.0,0.0,0.0,-1.149181,-0.0,-4.1e-05,0.0,0.0,0.0,-1.149148,-0.0,0.0,0.101918,0.0,0.002045,5.464559,2.767096,0.154718,0.019108,0.0,-0.364601,0.097866,-1.20747,0.006156,-7.29535,-7.301786,13.00603,-11.880739,47.331288,41.013158,-0.101918,0.0,-0.002044,4.324051,-3.279051,-0.10305,-0.019032,0.0,-0.363143,4.865852,-2.439341,-0.151671,-8.440092,7.488059,-12.817351,-18.175999,-48.12583,-37.729118
-0.015628,-0.021312,0.726615,-0.0,-0.0,1.465137,0.0,0.0,-0.0,-5.434364,-1.173354,-0.117476,9.999939,-0.020515,-0.167182,0.0,0.032919,0.268106,15.808548,-4.376343,1.386235,0.0,0.00301,0.172417,0.633774,1e-06,2e-06,0.0,0.032919,0.268106,0.213543,4.9e-05,-0.026196,0.164675,0.0,-0.0,9.705528,77.589603,-12.086681,0.275807,0.000113,0.000937,0.726427,4.046971,-22.1846,0.0,0.032919,0.268106,0.264225,7.5e-05,-0.032455,-0.164675,-0.0,-0.0,1.76359,-77.325781,2.247543,-0.275851,0.000113,0.000937,2.36683,-10.47573,24.903572,0.0,-0.0,-0.0,-1.258453,-0.0,-2.1e-05,0.0,-0.0,-0.0,-1.258454,-0.0,0.0,0.101914,-0.0,0.002239,5.685443,2.70073,0.164278,0.019108,0.0,-0.364601,-0.04857,-1.364493,-0.003123,-6.036555,-6.497867,12.017802,-13.065116,47.915386,40.855234,-0.101914,-0.0,-0.002239,4.6843,-4.175543,-0.074914,-0.019032,0.0,-0.363143,4.728051,-0.908438,-0.21051,-9.339609,7.969775,-13.296327,-18.902709,-48.860735,-39.184153
-0.014412,-0.024799,0.726163,-0.0,0.0,1.870586,0.0,0.0,0.0,-5.844774,-1.176389,-0.122037,9.999586,-0.080654,-0.657079,0.0,0.032919,0.268106,16.461062,-3.950242,1.684687,0.0,0.00301,0.172417,0.368075,-1e-06,3e-06,0.0,0.032919,0.268106,0.291254,8.9e-05,-0.035729,0.164675,0.0,0.0,8.596661,77.882393,-10.659147,0.275807,0.000113,0.000937,0.608494,3.651061,-20.947377,0.0,0.032919,0.268106,0.34194,0.000124,-0.041948,-0.164675,0.0,-0.0,-2.090587,-76.61639,-2.595187,-0.275851,0.000113,0.000937,2.975528,-12.739201,25.460087,0.0,0.0,0.0,-1.238918,-1e-06,-5.5e-05,0.0,0.0,0.0,-1.238951,0.0,-0.0,0.101915,0.0,0.002204,6.013072,2.75549,0.170884,0.019108,-0.0,-0.364601,-0.227839,-1.500094,-0.014913,-5.178425,-5.939687,11.285362,-13.600448,48.121893,40.588519,-0.101914,-0.0,-0.002204,5.192735,-4.678718,-0.060174,-0.019032,0.0,-0.363143,4.431463,0.015341,-0.232952,-9.974258,8.357707,-13.709098,-19.442248,-49.306739,-39.986875
-0.011914,-0.028842,0.725401,-0.0,0.0,2.174847,-0.0,0.0,-0.0,-6.240571,-1.211464,-0.129907,9.999151,-0.112078,-0.912953,-0.0,0.032919,0.268106,16.948734,-3.410423,2.236232,0.0,0.00301,0.172417,0.198267,0.0,-6e-06,-0.0,0.032919,0.268106,0.611208,0.0004,-0.075102,0.164675,0.0,0.0,5.852758,77.924652,-7.270276,0.275807,0.000113,0.000937,0.651284,3.832373,-21.15939,-0.0,0.032919,0.268106,0.661894,0.000469,-0.081305,-0.164676,-0.0,-0.0,-8.253081,-75.508076,-10.579936,-0.275851,0.000113,0.000937,4.054541,-16.134196,27.100317,0.0,0.0,-0.0,-1.078479,-0.0,4.3e-05,0.0,0.0,-0.0,-1.078546,-0.0,-0.0,0.10192,0.0,0.001919,6.435987,2.930565,0.17308,0.019108,-0.0,-0.364601,-0.481546,-1.604166,-0.031955,-4.772768,-5.616561,10.804706,-13.55124,47.991658,40.219559,-0.10192,-0.0,-0.001919,5.81377,-4.6494,-0.068877,-0.019032,0.0,-0.363143,3.992866,0.195106,-0.216123,-10.345399,8.620877,-14.010345,-19.941704,-49.581638,-40.254089
-0.008798,-0.032255,0.724508,-0.0,0.0,2.475101,-0.0,0.0,0.0,-6.543955,-1.227821,-0.13495,9.99894,-0.125986,-1.026048,-0.0,0.032919,0.268106,17.266681,-2.890072,2.675213,-0.0,0.00301,0.172417,0.171412,1e-06,-0.0,-0.0,0.032919,0.268106,1.103695,0.001306,-0.13558,0.164675,-0.0,0.0,1.893086,77.597287,-2.397769,0.275807,0.000113,0.000937,0.803578,4.353426,-22.530962,-0.0,0.032919,0.268106,1.15434,0.001428,-0.141775,-0.164675,0.0,-0.0,-15.606419,-73.885817,-20.569781,-0.275851,0.000113,0.000937,5.663592,-20.224964,29.915542,-0.0,0.0,0.0,-0.865445,1e-06,6.7e-05,0.0,0.0,0.0,-0.865479,0.0,-0.0,0.101927,-0.0,0.00154,6.794276,3.116438,0.171697,0.019108,-0.0,-0.364601,-0.727423,-1.657626,-0.048609,-4.605054,-5.390673,10.410769,-13.389115,47.781217,39.787464,-0.101927,-0.0,-0.00154,6.349929,-4.297453,-0.09482,-0.019032,-0.0,-0.363143,3.596891,-0.060138,-0.186683,-10.581277,8.808444,-14.235636,-20.587604,-49.903469,-40.495679
-0.005909,-0.03418,0.7238,0.0,0.0,2.744275,0.0,-0.0,0.0,-6.715266,-1.18449,-0.13198,9.998576,-0.140996,-1.148475,0.0,0.032919,0.268106,17.586728,-2.378053,2.731055,0.0,0.00301,0.172417,0.143607,-0.0,-1e-06,0.0,0.032919,0.268106,1.645288,0.0029,-0.201967,0.164675,0.0,0.0,-2.179893,76.980405,2.690226,0.275807,0.000113,0.000937,0.97133,4.811241,-24.342852,0.0,0.032919,0.268106,1.695971,0.003081,-0.208209,-0.164675,-0.0,0.0,-21.605657,-71.68972,-29.481255,-0.275851,0.000113,0.000937,7.885102,-24.879983,33.50871,0.0,0.0,0.0,-0.703417,-0.0,-6.6e-05,0.0,0.0,0.0,-0.703383,-0.0,0.0,0.101931,0.0,0.001251,6.905745,3.241634,0.166958,0.019108,-0.0,-0.364601,-0.732977,-1.6503,-0.048935,-4.542888,-5.212951,10.067577,-13.393016,47.62681,39.2475,-0.101931,-0.0,-0.001251,6.646555,-3.914688,-0.121536,-0.019032,-0.0,-0.363143,3.391141,-0.387557,-0.166331,-10.703987,8.953793,-14.437874,-21.166244,-50.191611,-40.73227
-0.003424,-0.034837,0.723613,-0.0,0.0,2.855688,0.0,0.0,-0.0,-6.797759,-1.121208,-0.125745,9.997963,-0.165391,-1.347125,-0.0,0.032919,0.268106,18.111164,-1.734223,2.496946,-0.0,0.00301,0.172417,-0.071194,-0.0,-2e-06,0.0,0.032919,0.268106,2.158625,0.004992,-0.265012,0.164675,-0.0,-0.0,-5.392197,76.361139,6.795939,0.275807,0.000113,0.000937,1.042423,4.878224,-25.780843,0.0,0.032919,0.268106,2.20935,0.00523,-0.271246,-0.164675,-0.0,0.0,-24.492526,-69.303129,-34.737406,-0.275851,0.000113,0.000937,10.610022,-29.942859,37.012648,0.0,0.0,0.0,-0.629775,0.0,-3.9e-05,0.0,0.0,0.0,-0.629775,0.0,0.0,0.101932,0.0,0.00112,6.760447,3.352304,0.156893,0.019108,0.0,-0.364601,-0.381253,-1.611651,-0.025325,-4.629863,-5.152007,9.90233,-13.516563,47.522124,38.656572,-0.101932,-0.0,-0.00112,6.713114,-3.624669,-0.139796,-0.019032,-0.0,-0.363143,3.368837,-0.62702,-0.158209,-10.644589,9.022201,-14.590379,-21.273338,-50.193233,-40.569746
-0.001038,-0.035097,0.724163,0.0,0.0,2.723488,0.0,-0.0,-0.0,-6.867831,-1.101995,-0.124273,9.997392,-0.188187,-1.532774,-0.0,0.032919,0.268106,18.84798,-0.952766,2.344706,-0.0,0.00301,0.172417,-0.435736,0.0,-2e-06,0.0,0.032919,0.268106,2.615513,0.007328,-0.321002,0.164675,0.0,-0.0,-7.59257,76.002937,9.64543,0.275807,0.000113,0.000937,0.973394,4.509824,-26.406194,0.0,0.032919,0.268106,2.666236,0.007616,-0.327262,-0.164675,-0.0,-0.0,-24.876379,-67.444095,-36.429169,-0.275851,0.000113,0.000937,13.214374,-34.561679,39.480211,0.0,-0.0,-0.0,-0.583272,-0.0,0.0,0.0,-0.0,-0.0,-0.583273,-0.0,0.0,0.101933,-0.0,0.001038,6.551464,3.519231,0.142466,0.019108,0.0,-0.364601,0.132212,-1.585333,0.008752,-4.881737,-5.257353,10.011578,-13.679659,47.493475,38.249572,-0.101933,-0.0,-0.001038,6.666251,-3.391224,-0.152434,-0.019032,0.0,-0.363143,3.428601,-0.761123,-0.157013,-10.440524,8.948711,-14.558468,-20.906193,-49.881872,-39.912046
0.001239,-0.035516,0.725326,-0.0,0.0,2.382697,0.0,0.0,0.0,-6.948762,-1.10576,-0.125489,9.997316,-0.192557,-1.5684,0.0,0.032919,0.268106,19.590567,-0.278762,2.621041,-0.0,0.00301,0.172417,-0.705544,-0.0,0.0,0.0,0.032919,0.268106,2.978591,0.009506,-0.36556,0.164675,0.0,0.0,-9.380064,75.938815,11.935039,0.275807,0.000113,0.000937,0.832715,3.94524,-26.478195,0.0,0.032919,0.268106,3.029273,0.009833,-0.371795,-0.164675,-0.0,0.0,-24.389671,-66.567078,-36.297343,-0.275851,0.000113,0.000937,14.882398,-37.712148,40.4396,0.0,0.0,0.0,-0.473785,-0.0,5.2e-05,0.0,0.0,0.0,-0.473785,-0.0,0.0,0.101935,0.0,0.000843,6.463811,3.716637,0.129392,0.019108,0.0,-0.364601,0.503735,-1.562562,0.033245,-5.184814,-5.472192,10.322241,-13.901579,47.588424,38.150995,-0.101935,0.0,-0.000843,6.588858,-3.180401,-0.162808,-0.019032,-0.0,-0.363143,3.511999,-0.778418,-0.160305,-10.275391,8.727345,-14.238001,-20.501115,-49.509094,-39.109697
0.002974,-0.035969,0.726508,0.0,0.0,2.002193,-0.0,-0.0,0.0,-7.003081,-1.04273,-0.118836,9.997714,-0.181185,-1.475805,-0.0,0.032919,0.268106,20.125689,0.040568,3.323408,0.0,0.00301,0.172417,-0.707141,0.0,1e-06,0.0,0.032919,0.268106,3.195516,0.010936,-0.392091,0.164675,-0.0,0.0,-11.403011,76.027573,14.486471,0.275807,0.000113,0.000937,0.711988,3.454609,-26.622561,0.0,0.032919,0.268106,3.246239,0.011288,-0.398353,-0.164675,-0.0,0.0,-24.036612,-66.482124,-35.844157,-0.275851,0.000113,0.000937,15.533641,-39.292555,40.371974,-0.0,-0.0,0.0,-0.282721,-0.0,-3e-05,-0.0,-0.0,0.0,-0.282687,-0.0,0.0,0.101937,0.0,0.000503,6.491373,3.842095,0.122817,0.019108,0.0,-0.364601,0.635302,-1.480554,0.041475,-5.437225,-5.672508,10.620988,-14.145166,47.730906,38.175717,-0.101937,-0.0,-0.000503,6.493308,-3.02996,-0.168982,-0.019032,0.0,-0.363143,3.62993,-0.674248,-0.168987,-10.291903,8.465555,-13.753588,-20.399379,-49.309345,-38.515068
